,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x10ab84560>],Ethan,1_0,False,True,[['up']],up,up,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x10ab847a0>],Ethan,1_0,True,,,button,,,,NaN,NaN
2,2,"[<__main__.Word instance at 0x10ab84a28>
 <__main__.Word instance at 0x10ab84758>]",Ethan,1_0,True,,,hacow,,,,NaN,NaN
3,3,"[<__main__.Word instance at 0x10abbb098>
 <__main__.Word instance at 0x10abbb200>]",Ethan,1_0,True,,,quackquack,,,,NaN,NaN
4,4,[<__main__.Word instance at 0x10abbb3b0>],Ethan,1_0,False,True,[['cow']],cow,cow,1.0,0.0,False,-0.0
5,5,[<__main__.Word instance at 0x10abbb5f0>],Ethan,1_0,False,True,[['bubbles']],bubbles,bubbles,1.0,0.0,False,-0.0
6,6,[<__main__.Word instance at 0x10abbb998>],Ethan,1_0,False,True,[['bubble']],bubble,bubble,1.0,0.0,False,-0.0
7,7,[<__main__.Word instance at 0x10abbbb00>],Ethan,1_0,False,True,[['bubbles']],bubbles,bubbles,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x10abbbcf8>],Ethan,1_0,True,,,mom,,,,NaN,NaN
9,9,[<__main__.Word instance at 0x10abbbe18>],Ethan,1_0,False,True,[['block']],block,block,1.0,0.0,False,-0.0
10,10,[<__main__.Word instance at 0x10abbbf38>],Ethan,1_0,True,,,bah,,,,NaN,NaN
11,11,[<__main__.Word instance at 0x10a9eb6c8>],Ethan,1_0,True,,,bus,,,,NaN,NaN
12,12,"[<__main__.Word instance at 0x10a9ebb48>
 <__main__.Word instance at 0x10a9eb878>]",Ethan,1_0,False,True,"[['ball'], ['ball']]",ballball,ballball,0.5,0.69314718056,True,-0.0
13,13,[<__main__.Word instance at 0x10a9eb4d0>],Ethan,1_0,False,True,[['balloon']],balloon,balloon,1.0,0.0,False,-0.0
14,14,[<__main__.Word instance at 0x10a9edc68>],Ethan,1_0,False,True,[['daddy']],daddy,daddy,1.0,0.0,False,-0.0
15,15,[<__main__.Word instance at 0x10a9edc20>],Ethan,1_0,True,,,&,,,,NaN,NaN
16,16,[<__main__.Word instance at 0x117b59098>],Ethan,1_0,False,True,[['baby']],baby,baby,1.0,0.0,False,-0.0
17,17,[<__main__.Word instance at 0x117b59248>],Ethan,1_0,False,True,[['ball']],ball,ball,1.0,0.0,False,-0.0
18,18,[<__main__.Word instance at 0x117b593b0>],Ethan,1_0,False,True,[['baby']],baby,baby,1.0,0.0,False,-0.0
19,19,[<__main__.Word instance at 0x117b59560>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
20,20,[<__main__.Word instance at 0x117b59710>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
21,21,[<__main__.Word instance at 0x117b597a0>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
22,22,[<__main__.Word instance at 0x117b598c0>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
23,23,[<__main__.Word instance at 0x117b59cf8>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
