,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x119037320>],Lily,2_0,False,True,[['Manuela']],Manuela,Manuela,1.0,0.0,False,-0.0
1,1,"[<__main__.Word instance at 0x119037518>
 <__main__.Word instance at 0x119037680>]",Lily,2_0,True,,,LalaLala,,,,NaN,NaN
2,2,[<__main__.Word instance at 0x119037908>],Lily,2_0,True,,,Lala,,,,NaN,NaN
3,3,[<__main__.Word instance at 0x119037a28>],Lily,2_0,False,True,[['no']],no,no,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x119037b00>
 <__main__.Word instance at 0x119037c20>]",Lily,2_0,False,False,"[['in'], ['here']]",inhere,herein,0.5,-0.69314718056,False,-0.6931471805599453
5,5,[<__main__.Word instance at 0x119037dd0>],Lily,2_0,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
6,6,[<__main__.Word instance at 0x119037ea8>],Lily,2_0,False,True,[['okay']],okay,okay,1.0,0.0,False,-0.0
7,7,[<__main__.Word instance at 0x108ac9a70>],Lily,2_0,False,True,[['okay']],okay,okay,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x108ac9cf8>],Lily,2_0,False,True,[['up']],up,up,1.0,0.0,False,-0.0
9,9,[<__main__.Word instance at 0x108ac9758>],Lily,2_0,False,True,[['on']],on,on,1.0,0.0,False,-0.0
10,10,"[<__main__.Word instance at 0x108ac95a8>
 <__main__.Word instance at 0x108ac98c0>
 <__main__.Word instance at 0x108ac9f80>
 <__main__.Word instance at 0x108ac94d0>
 <__main__.Word instance at 0x108ac9488>]",Lily,2_0,True,,,wigglewigglewigglewigglewiggle,,,,NaN,NaN
11,11,"[<__main__.Word instance at 0x108ac9680>
 <__main__.Word instance at 0x1089306c8>]",Lily,2_0,True,,,wigglewiggle,,,,NaN,NaN
12,12,"[<__main__.Word instance at 0x108930998>
 <__main__.Word instance at 0x108930b00>]",Lily,2_0,True,,,wigglewiggle,,,,NaN,NaN
13,13,"[<__main__.Word instance at 0x108930c20>
 <__main__.Word instance at 0x108930a28>]",Lily,2_0,True,,,wigglewiggle,,,,NaN,NaN
14,14,"[<__main__.Word instance at 0x108932bd8>
 <__main__.Word instance at 0x1089329e0>]",Lily,2_0,True,,,wigglewiggle,,,,NaN,NaN
15,15,"[<__main__.Word instance at 0x11903d0e0>
 <__main__.Word instance at 0x11903d170>]",Lily,2_0,True,,,wigglewiggle,,,,NaN,NaN
