,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x10adf55a8>],Alex,1_6,True,,,tree,,,,NaN,NaN
1,1,[<__main__.Word instance at 0x10adf5998>],Alex,1_6,True,,,tree,,,,NaN,NaN
2,2,[<__main__.Word instance at 0x10ade9cf8>],Alex,1_6,False,True,[['ball']],ball,ball,1.0,0.0,False,-0.0
3,3,[<__main__.Word instance at 0x117c58050>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
4,4,[<__main__.Word instance at 0x117c58248>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
5,5,[<__main__.Word instance at 0x117c58488>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
6,6,[<__main__.Word instance at 0x117c586c8>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
7,7,[<__main__.Word instance at 0x117c588c0>],Alex,1_6,True,,,&,,,,NaN,NaN
8,8,[<__main__.Word instance at 0x117c58ab8>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
9,9,[<__main__.Word instance at 0x117c58cf8>],Alex,1_6,False,True,[['water']],water,water,1.0,0.0,False,-0.0
10,10,[<__main__.Word instance at 0x117c58f38>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
11,11,[<__main__.Word instance at 0x10af8e560>],Alex,1_6,False,True,[['wow']],wow,wow,1.0,0.0,False,-0.0
12,12,[<__main__.Word instance at 0x10af8e7a0>],Alex,1_6,True,,,bat,,,,NaN,NaN
13,13,[<__main__.Word instance at 0x10af8ea28>],Alex,1_6,True,,,bat,,,,NaN,NaN
14,14,[<__main__.Word instance at 0x10af8e8c0>],Alex,1_6,True,,,bat,,,,NaN,NaN
15,15,[<__main__.Word instance at 0x10af8e488>],Alex,1_6,True,,,bat,,,,NaN,NaN
