,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x11ab08518>],Alex,1_6,False,True,[['tree']],tree,tree,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x11ab08710>],Alex,1_6,False,True,[['tree']],tree,tree,1.0,0.0,False,-0.0
2,2,[<__main__.Word instance at 0x11ab08950>],Alex,1_6,False,True,[['ball']],ball,ball,1.0,0.0,False,-0.0
3,3,[<__main__.Word instance at 0x11ab08b90>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
4,4,[<__main__.Word instance at 0x11ab08dd0>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
5,5,[<__main__.Word instance at 0x10dbc46c8>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
6,6,[<__main__.Word instance at 0x10dbc4998>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
7,7,[<__main__.Word instance at 0x10dbc4b00>],Alex,1_6,False,True,[['&']],&,&,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x10dbc6ab8>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
9,9,[<__main__.Word instance at 0x10dbc6c68>],Alex,1_6,False,True,[['water']],water,water,1.0,0.0,False,-0.0
10,10,[<__main__.Word instance at 0x10dd5da70>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
11,11,[<__main__.Word instance at 0x10dd5dcf8>],Alex,1_6,False,True,[['wow']],wow,wow,1.0,0.0,False,-0.0
12,12,[<__main__.Word instance at 0x10dd5d758>],Alex,1_6,False,True,[['bat']],bat,bat,1.0,0.0,False,-0.0
13,13,[<__main__.Word instance at 0x10dd5d518>],Alex,1_6,False,True,[['bat']],bat,bat,1.0,0.0,False,-0.0
14,14,[<__main__.Word instance at 0x11ab0e050>],Alex,1_6,False,True,[['bat']],bat,bat,1.0,0.0,False,-0.0
15,15,[<__main__.Word instance at 0x11ab0e200>],Alex,1_6,False,True,[['bat']],bat,bat,1.0,0.0,False,-0.0
16,16,[<__main__.Word instance at 0x11ab0e3b0>],Alex,1_6,False,True,[['one']],one,one,1.0,0.0,False,-0.0
17,17,[<__main__.Word instance at 0x11ab0e680>],Alex,1_6,False,True,[['octopus']],octopus,octopus,1.0,0.0,False,-0.0
18,18,[<__main__.Word instance at 0x11ab0e758>],Alex,1_6,False,True,[['octopus']],octopus,octopus,1.0,0.0,False,-0.0
19,19,[<__main__.Word instance at 0x11ab0e6c8>],Alex,1_6,False,True,[['wee']],wee,wee,1.0,0.0,False,-0.0
