,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x115cc32d8>],Alex,2_0,False,True,[['Elmo']],Elmo,Elmo,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x115cc3488>],Alex,2_0,False,True,[['apple']],apple,apple,1.0,0.0,False,-0.0
2,2,"[<__main__.Word instance at 0x115cc3680>
 <__main__.Word instance at 0x115cc37a0>]",Alex,2_0,False,True,"[['star'], ['a']]",astar,astar,0.5,0.69314718056,False,0.6931471805599453
3,3,"[<__main__.Word instance at 0x115cc38c0>
 <__main__.Word instance at 0x115cc3998>]",Alex,2_0,False,True,"[['right'], ['there']]",rightthere,rightthere,0.5,0.69314718056,False,0.6931471805599453
4,4,[<__main__.Word instance at 0x115cc3bd8>],Alex,2_0,False,True,[['that']],that,that,1.0,0.0,False,-0.0
5,5,"[<__main__.Word instance at 0x115cc3dd0>
 <__main__.Word instance at 0x115cc3e60>]",Alex,2_0,False,True,"[['right'], ['there']]",rightthere,rightthere,0.5,0.69314718056,False,0.6931471805599453
6,6,[<__main__.Word instance at 0x115cc3f80>],Alex,2_0,False,True,[['those']],those,those,1.0,0.0,False,-0.0
7,7,"[<__main__.Word instance at 0x108c3a560>
 <__main__.Word instance at 0x108c3aa70>]",Alex,2_0,False,True,"[['that'], ['look']]",lookthat,lookthat,0.5,0.69314718056,False,0.6931471805599453
8,8,[<__main__.Word instance at 0x108c3acf8>],Alex,2_0,False,True,[['this']],this,this,1.0,0.0,False,-0.0
9,9,[<__main__.Word instance at 0x108c3a758>],Alex,2_0,False,True,[['that']],that,that,1.0,0.0,False,-0.0
10,10,"[<__main__.Word instance at 0x108c3a8c0>
 <__main__.Word instance at 0x108c3a440>]",Alex,2_0,False,False,"[['that'], [""who's""]]",who'sthat,thatwho's,0.5,-0.69314718056,False,-0.6931471805599453
11,11,"[<__main__.Word instance at 0x108c3a878>
 <__main__.Word instance at 0x108aa3a28>]",Alex,2_0,False,True,"[[""what's"", 'this']]",what'sthis,what'sthis,1.0,0.0,False,-0.0
12,12,"[<__main__.Word instance at 0x108aa3c68>
 <__main__.Word instance at 0x108aa3c20>]",Alex,2_0,False,False,"[['what'], ['that']]",whatthat,thatwhat,0.5,-0.69314718056,False,-0.6931471805599453
13,13,"[<__main__.Word instance at 0x108aa39e0>
 <__main__.Word instance at 0x108aa16c8>]",Alex,2_0,False,True,"[[""what's"", 'that']]",what'sthat,what'sthat,1.0,0.0,False,-0.0
14,14,"[<__main__.Word instance at 0x108aa1998>
 <__main__.Word instance at 0x108aa1878>]",Alex,2_0,False,True,"[[""what's"", 'this']]",what'sthis,what'sthis,1.0,0.0,False,-0.0
15,15,"[<__main__.Word instance at 0x108aa1b48>
 <__main__.Word instance at 0x115cc9050>
 <__main__.Word instance at 0x115cc90e0>]",Alex,2_0,False,True,"[['under'], ['the', 'tree']]",underthetree,underthetree,0.5,0.69314718056,False,0.6931471805599453
16,16,[<__main__.Word instance at 0x115cc9200>],Alex,2_0,False,True,[['that']],that,that,1.0,0.0,False,-0.0
17,17,[<__main__.Word instance at 0x115cc9290>],Alex,2_0,False,True,[['yep']],yep,yep,1.0,0.0,False,-0.0
18,18,[<__main__.Word instance at 0x115cc9518>],Alex,2_0,False,True,[['smooth']],smooth,smooth,1.0,0.0,False,-0.0
19,19,"[<__main__.Word instance at 0x115cc95a8>
 <__main__.Word instance at 0x115cc96c8>]",Alex,2_0,False,True,"[['a', 'boat']]",aboat,aboat,1.0,0.0,False,-0.0
20,20,[<__main__.Word instance at 0x115cc97a0>],Alex,2_0,False,True,[['apple']],apple,apple,1.0,0.0,False,-0.0
21,21,"[<__main__.Word instance at 0x115cc9878>
 <__main__.Word instance at 0x115cc9950>]",Alex,2_0,False,True,"[['no'], ['no']]",nono,nono,0.5,0.69314718056,True,-0.0
22,22,[<__main__.Word instance at 0x115cc9a70>],Alex,2_0,False,True,[['no']],no,no,1.0,0.0,False,-0.0
23,23,[<__main__.Word instance at 0x115cc9b00>],Alex,2_0,False,True,[['pumpkin']],pumpkin,pumpkin,1.0,0.0,False,-0.0
24,24,[<__main__.Word instance at 0x115cc9bd8>],Alex,2_0,False,True,[['one']],one,one,1.0,0.0,False,-0.0
25,25,[<__main__.Word instance at 0x115cc9cb0>],Alex,2_0,False,True,[['one']],one,one,1.0,0.0,False,-0.0
