,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x115dd9e18>
 <__main__.Word instance at 0x115dd9f80>
 <__main__.Word instance at 0x10919a560>
 <__main__.Word instance at 0x10919aa70>
 <__main__.Word instance at 0x10919a7a0>
 <__main__.Word instance at 0x10919acf8>
 <__main__.Word instance at 0x10919aa28>]",Violet,3_6,False,False,"[['new'], ['you'], ['making'], ['string'], ['Mom'], ['are'], ['a']]",Momareyoumakinganewstring,youaarestringMomnewmaking,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
1,1,[<__main__.Word instance at 0x10919a8c0>],Violet,3_6,False,True,[['kite']],kite,kite,1.0,0.0,False,-0.0
2,2,"[<__main__.Word instance at 0x108ff5cf8>
 <__main__.Word instance at 0x1090039e0>
 <__main__.Word instance at 0x109003ab8>]",Violet,3_6,False,False,"[['this'], ['what'], ['is']]",whatisthis,isthiswhat,0.166666666667,-0.182321556794,False,-0.1823215567939546
3,3,"[<__main__.Word instance at 0x109003bd8>
 <__main__.Word instance at 0x1090016c8>
 <__main__.Word instance at 0x109001908>
 <__main__.Word instance at 0x109001998>]",Violet,3_6,False,False,"[['is'], ['it'], ['for'], ['what']]",whatisitfor,isitwhatfor,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
4,4,"[<__main__.Word instance at 0x109001878>
 <__main__.Word instance at 0x115de4050>
 <__main__.Word instance at 0x115de4170>]",Violet,3_6,False,False,"[['what'], ['is'], ['this']]",whatisthis,isthiswhat,0.166666666667,-0.182321556794,False,-0.1823215567939546
5,5,"[<__main__.Word instance at 0x115de42d8>
 <__main__.Word instance at 0x115de43b0>
 <__main__.Word instance at 0x115de4248>]",Violet,3_6,False,False,"[['kite'], [""here's""], ['a']]",here'sakite,ahere'skite,0.166666666667,-0.182321556794,False,-0.1823215567939546
6,6,[<__main__.Word instance at 0x115de4320>],Violet,3_6,False,True,[['kite']],kite,kite,1.0,0.0,False,-0.0
7,7,"[<__main__.Word instance at 0x115de43f8>
 <__main__.Word instance at 0x115de4638>
 <__main__.Word instance at 0x115de4098>]",Violet,3_6,False,True,"[['see'], ['it'], ['I']]",Iseeit,Iseeit,0.166666666667,1.79175946923,False,1.791759469228055
8,8,[<__main__.Word instance at 0x115de45a8>],Violet,3_6,False,True,[['movie']],movie,movie,1.0,0.0,False,-0.0
9,9,[<__main__.Word instance at 0x115de4680>],Violet,3_6,False,True,[['hey']],hey,hey,1.0,0.0,False,-0.0
10,10,[<__main__.Word instance at 0x115de4758>],Violet,3_6,False,True,[['move']],move,move,1.0,0.0,False,-0.0
11,11,[<__main__.Word instance at 0x115de4830>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
12,12,[<__main__.Word instance at 0x115de4908>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
13,13,[<__main__.Word instance at 0x115de49e0>],Violet,3_6,False,True,[['ball']],ball,ball,1.0,0.0,False,-0.0
14,14,[<__main__.Word instance at 0x115de4ab8>],Violet,3_6,False,True,[['oops']],oops,oops,1.0,0.0,False,-0.0
15,15,[<__main__.Word instance at 0x115de4b90>],Violet,3_6,False,True,[['we']],we,we,1.0,0.0,False,-0.0
16,16,[<__main__.Word instance at 0x115de4c68>],Violet,3_6,False,True,[['yum']],yum,yum,1.0,0.0,False,-0.0
