,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x11a850488>
 <__main__.Word instance at 0x11a8505f0>
 <__main__.Word instance at 0x11a850680>
 <__main__.Word instance at 0x11a8507e8>]",Alex,3_6,False,True,"[['how', 'bout'], ['this', 'one']]",howboutthisone,howboutthisone,0.5,0.69314718056,False,0.6931471805599453
1,1,[<__main__.Word instance at 0x11a850ab8>],Alex,3_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
2,2,"[<__main__.Word instance at 0x11a850cf8>
 <__main__.Word instance at 0x11a850e18>]",Alex,3_6,False,True,"[['no'], ['yes']]",noyes,noyes,0.5,0.69314718056,False,0.6931471805599453
3,3,[<__main__.Word instance at 0x108ef56c8>],Alex,3_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x108ef5998>
 <__main__.Word instance at 0x108ef5b48>
 <__main__.Word instance at 0x108ef5b00>]",Alex,3_6,False,False,"[['this', 'one'], ['oh']]",ohthisone,thisoneoh,0.5,-0.69314718056,False,-0.6931471805599453
5,5,"[<__main__.Word instance at 0x108ef7ab8>
 <__main__.Word instance at 0x108ef7bd8>
 <__main__.Word instance at 0x108ef7c68>
 <__main__.Word instance at 0x10908e560>
 <__main__.Word instance at 0x10908ea70>
 <__main__.Word instance at 0x10908e7a0>
 <__main__.Word instance at 0x10908ecf8>]",Alex,3_6,False,False,"[['more'], ['like'], ['with'], ['bat'], ['it'], ['I'], ['the']]",Ilikeitmorewiththebat,batthewithitlikemoreI,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
6,6,"[<__main__.Word instance at 0x10908e758>
 <__main__.Word instance at 0x10908e8c0>
 <__main__.Word instance at 0x10908e518>
 <__main__.Word instance at 0x10908e680>]",Alex,3_6,False,False,"[['bat'], ['remove'], ['the'], ['I']]",Iremovethebat,batremoveIthe,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
7,7,[<__main__.Word instance at 0x11a856170>],Alex,3_6,False,True,[['Amanda']],Amanda,Amanda,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x11a856320>],Alex,3_6,False,True,[['throw']],throw,throw,1.0,0.0,False,-0.0
9,9,"[<__main__.Word instance at 0x11a856518>
 <__main__.Word instance at 0x11a8566c8>]",Alex,3_6,False,True,"[['throw'], ['ball']]",throwball,throwball,0.5,0.69314718056,False,0.6931471805599453
10,10,"[<__main__.Word instance at 0x11a8567a0>
 <__main__.Word instance at 0x11a856878>]",Alex,3_6,False,True,"[['for'], [""that's""]]",that'sfor,that'sfor,0.5,0.69314718056,False,0.6931471805599453
11,11,[<__main__.Word instance at 0x11a856950>],Alex,3_6,False,True,[['oh']],oh,oh,1.0,0.0,False,-0.0
12,12,"[<__main__.Word instance at 0x11a856a28>
 <__main__.Word instance at 0x11a8568c0>
 <__main__.Word instance at 0x11a856b00>]",Alex,3_6,False,False,"[['let'], ['okay'], ['play']]",okayletplay,playletokay,0.166666666667,-0.182321556794,False,-0.1823215567939546
13,13,"[<__main__.Word instance at 0x11a856bd8>
 <__main__.Word instance at 0x11a856a70>]",Alex,3_6,False,True,"[['how', 'about']]",howabout,howabout,1.0,0.0,False,-0.0
14,14,"[<__main__.Word instance at 0x11a856b48>
 <__main__.Word instance at 0x11a856d88>]",Alex,3_6,False,True,"[['how', 'bout']]",howbout,howbout,1.0,0.0,False,-0.0
15,15,"[<__main__.Word instance at 0x11a856e18>
 <__main__.Word instance at 0x11a856998>
 <__main__.Word instance at 0x11a856ea8>]",Alex,3_6,False,False,"[['me'], ['let'], ['see']]",letmesee,seeletme,0.166666666667,-0.182321556794,False,-0.1823215567939546
16,16,"[<__main__.Word instance at 0x11a856fc8>
 <__main__.Word instance at 0x11a856680>
 <__main__.Word instance at 0x11a856560>
 <__main__.Word instance at 0x11a85b128>]",Alex,3_6,False,False,"[['how', 'bout'], ['Elmo'], ['sport']]",howboutElmosport,howboutsportElmo,0.166666666667,-0.182321556794,False,-0.1823215567939546
17,17,"[<__main__.Word instance at 0x11a85b2d8>
 <__main__.Word instance at 0x11a85b170>
 <__main__.Word instance at 0x11a85b3b0>
 <__main__.Word instance at 0x11a85b248>
 <__main__.Word instance at 0x11a85b488>]",Alex,3_6,False,False,"[['sport'], ['how', 'bout'], ['Elmo'], ['instead']]",howboutElmosportinstead,howboutsportElmoinstead,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
18,18,"[<__main__.Word instance at 0x11a85b560>
 <__main__.Word instance at 0x11a85b3f8>
 <__main__.Word instance at 0x11a85b638>
 <__main__.Word instance at 0x11a85b6c8>]",Alex,3_6,False,False,"[['blue'], ['the'], ['how', 'bout']]",howbouttheblue,thebluehowbout,0.166666666667,-0.182321556794,False,-0.1823215567939546
19,19,"[<__main__.Word instance at 0x11a85b7a0>
 <__main__.Word instance at 0x11a85b998>
 <__main__.Word instance at 0x11a85b878>]",Alex,3_6,False,False,"[['how', 'bout'], ['the']]",howboutthe,thehowbout,0.5,-0.69314718056,False,-0.6931471805599453
20,20,"[<__main__.Word instance at 0x11a85ba28>
 <__main__.Word instance at 0x11a85bc68>
 <__main__.Word instance at 0x11a85b950>]",Alex,3_6,False,False,"[['red'], ['the'], ['or']]",orthered,theredor,0.166666666667,-0.182321556794,False,-0.1823215567939546
21,21,"[<__main__.Word instance at 0x11a85bbd8>
 <__main__.Word instance at 0x11a85be18>]",Alex,3_6,False,True,"[['this', 'one']]",thisone,thisone,1.0,0.0,False,-0.0
22,22,"[<__main__.Word instance at 0x11a85bef0>
 <__main__.Word instance at 0x11a85bd88>]",Alex,3_6,False,True,"[['one'], ['that']]",thatone,thatone,0.5,0.69314718056,False,0.6931471805599453
23,23,"[<__main__.Word instance at 0x11a85be60>
 <__main__.Word instance at 0x11a85bf38>
 <__main__.Word instance at 0x11a85bcb0>
 <__main__.Word instance at 0x11a85bb48>]",Alex,3_6,False,False,"[['one'], ['how', 'bout'], ['no']]",howboutnoone,onenohowbout,0.166666666667,-0.182321556794,False,-0.1823215567939546
24,24,"[<__main__.Word instance at 0x11a863170>
 <__main__.Word instance at 0x11a863050>]",Alex,3_6,False,True,"[['this', 'one']]",thisone,thisone,1.0,0.0,False,-0.0
25,25,"[<__main__.Word instance at 0x11a863320>
 <__main__.Word instance at 0x11a8631b8>]",Alex,3_6,False,False,"[['orange'], ['one']]",orangeone,oneorange,0.5,-0.69314718056,False,-0.6931471805599453
26,26,"[<__main__.Word instance at 0x11a863290>
 <__main__.Word instance at 0x11a8634d0>
 <__main__.Word instance at 0x11a863368>
 <__main__.Word instance at 0x11a863680>]",Alex,3_6,False,False,"[['the'], ['tee'], ['go'], ['now']]",nowgothetee,theteegonow,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
27,27,"[<__main__.Word instance at 0x11a863758>
 <__main__.Word instance at 0x11a8632d8>]",Alex,3_6,False,False,"[['it'], ['watch']]",watchit,itwatch,0.5,-0.69314718056,False,-0.6931471805599453
28,28,"[<__main__.Word instance at 0x11a8637e8>
 <__main__.Word instance at 0x11a863b00>
 <__main__.Word instance at 0x11a8639e0>
 <__main__.Word instance at 0x11a863bd8>
 <__main__.Word instance at 0x11a863878>]",Alex,3_6,False,False,"[['how', 'bout'], ['this', 'one'], ['Mom']]",howboutthisoneMom,howboutMomthisone,0.166666666667,-0.182321556794,False,-0.1823215567939546
29,29,"[<__main__.Word instance at 0x11a863b48>
 <__main__.Word instance at 0x11a863d88>]",Alex,3_6,False,True,"[['this', 'one']]",thisone,thisone,1.0,0.0,False,-0.0
30,30,"[<__main__.Word instance at 0x11a863e18>
 <__main__.Word instance at 0x11a863638>
 <__main__.Word instance at 0x11a863fc8>]",Alex,3_6,False,True,"[['this', 'one'], ['Ma']]",Mathisone,Mathisone,0.5,0.69314718056,False,0.6931471805599453
31,31,"[<__main__.Word instance at 0x11a863cf8>
 <__main__.Word instance at 0x11a863998>]",Alex,3_6,False,False,"[['this'], ['like']]",likethis,thislike,0.5,-0.69314718056,False,-0.6931471805599453
32,32,"[<__main__.Word instance at 0x11a85e050>
 <__main__.Word instance at 0x11a85e128>
 <__main__.Word instance at 0x11a85e200>
 <__main__.Word instance at 0x11a85e2d8>
 <__main__.Word instance at 0x11a85e170>]",Alex,3_6,False,False,"[['is'], ['Ma'], ['oh'], ['too'], ['big']]",ohMaistoobig,Mabigtooohis,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
33,33,[<__main__.Word instance at 0x11a85e248>],Alex,3_6,False,True,[['why']],why,why,1.0,0.0,False,-0.0
34,34,"[<__main__.Word instance at 0x11a85e560>
 <__main__.Word instance at 0x11a85e3f8>]",Alex,3_6,False,False,"[['this'], ['roll']]",rollthis,thisroll,0.5,-0.69314718056,False,-0.6931471805599453
35,35,"[<__main__.Word instance at 0x11a85e320>
 <__main__.Word instance at 0x11a85e710>
 <__main__.Word instance at 0x11a85e908>]",Alex,3_6,False,True,"[['roll'], ['this', 'one']]",rollthisone,rollthisone,0.5,0.69314718056,False,0.6931471805599453
36,36,"[<__main__.Word instance at 0x11a85e9e0>
 <__main__.Word instance at 0x11a85e7a0>
 <__main__.Word instance at 0x11a85eab8>
 <__main__.Word instance at 0x11a85e4d0>
 <__main__.Word instance at 0x11a85ecf8>
 <__main__.Word instance at 0x11a85ebd8>
 <__main__.Word instance at 0x11a85edd0>
 <__main__.Word instance at 0x11a85eb00>]",Alex,3_6,False,False,"[['put'], ['back'], ['my'], ['all'], ['gonna'], ['in'], ['it'], ['we']]",weallgonnaputitinmyback,wegonnaputitbackinmyall,2.48015873016e-05,-2.4801894866e-05,False,-2.48018948660112e-05
37,37,"[<__main__.Word instance at 0x11a85ed40>
 <__main__.Word instance at 0x11a85efc8>]",Alex,3_6,False,False,"[[""it's""], ['sorry']]",it'ssorry,sorryit's,0.5,-0.69314718056,False,-0.6931471805599453
38,38,"[<__main__.Word instance at 0x11a85eef0>
 <__main__.Word instance at 0x11a85ee60>
 <__main__.Word instance at 0x11a85f0e0>
 <__main__.Word instance at 0x11a85f1b8>
 <__main__.Word instance at 0x11a85f050>
 <__main__.Word instance at 0x11a85f290>
 <__main__.Word instance at 0x11a85f368>]",Alex,3_6,False,False,"[['I'], ['my'], ['Mommy'], ['back'], ['it'], ['sorry'], ['put']]",IsorryMommyputitmyback,putitbacksorryImyMommy,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
39,39,"[<__main__.Word instance at 0x11a85f440>
 <__main__.Word instance at 0x11a85f2d8>
 <__main__.Word instance at 0x11a85f518>
 <__main__.Word instance at 0x11a85f3b0>]",Alex,3_6,False,False,"[['over'], ['Ma'], ['branches'], ['hit']]",Mahitoverbranches,Maoverbrancheshit,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
40,40,"[<__main__.Word instance at 0x11a85f488>
 <__main__.Word instance at 0x11a85f6c8>
 <__main__.Word instance at 0x11a85f560>
 <__main__.Word instance at 0x11a85f7a0>]",Alex,3_6,False,False,"[['like'], ['this'], ['no'], ['mm']]",mmnolikethis,thisnolikemm,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
41,41,[<__main__.Word instance at 0x11a85f878>],Alex,3_6,False,True,[['Mommy']],Mommy,Mommy,1.0,0.0,False,-0.0
42,42,"[<__main__.Word instance at 0x11a85f998>
 <__main__.Word instance at 0x11a85f7e8>]",Alex,3_6,False,False,"[['this'], ['like']]",likethis,thislike,0.5,-0.69314718056,False,-0.6931471805599453
43,43,"[<__main__.Word instance at 0x11a85f830>
 <__main__.Word instance at 0x11a85fb00>
 <__main__.Word instance at 0x11a85fbd8>
 <__main__.Word instance at 0x11a85f8c0>]",Alex,3_6,False,False,"[['yeah'], ['like'], ['volleyball'], ['something']]",yeahlikevolleyballsomething,likesomethingvolleyballyeah,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
44,44,"[<__main__.Word instance at 0x11a85fb48>
 <__main__.Word instance at 0x11a85fd88>
 <__main__.Word instance at 0x11a85fc20>
 <__main__.Word instance at 0x11a85fe18>
 <__main__.Word instance at 0x11a85fb90>]",Alex,3_6,False,False,"[['this', 'one'], ['Ma'], ['how', 'bout']]",howboutthisoneMa,Mahowboutthisone,0.166666666667,-0.182321556794,False,-0.1823215567939546
45,45,[<__main__.Word instance at 0x11a85f710>],Alex,3_6,False,True,[['it']],it,it,1.0,0.0,False,-0.0
46,46,"[<__main__.Word instance at 0x11a869098>
 <__main__.Word instance at 0x11a869170>
 <__main__.Word instance at 0x11a869248>
 <__main__.Word instance at 0x11a8690e0>
 <__main__.Word instance at 0x11a869320>]",Alex,3_6,False,False,"[['the'], ['in'], ['put'], ['yeah'], ['this']]",yeahputthisinthe,thisintheputyeah,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
47,47,"[<__main__.Word instance at 0x11a8693b0>
 <__main__.Word instance at 0x11a869560>
 <__main__.Word instance at 0x11a869440>]",Alex,3_6,False,True,"[['up'], ['sticks'], ['there']]",uptheresticks,uptheresticks,0.166666666667,1.79175946923,False,1.791759469228055
48,48,[<__main__.Word instance at 0x11a869638>],Alex,3_6,False,True,[['oop']],oop,oop,1.0,0.0,False,-0.0
