,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x10ea0acf8>],Ethan,1_0,False,True,[['up']],up,up,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x10ea16908>],Ethan,1_0,False,True,[['button']],button,button,1.0,0.0,False,-0.0
2,2,"[<__main__.Word instance at 0x10ea16368>
 <__main__.Word instance at 0x10ea16c20>]",Ethan,1_0,False,True,"[['ha'], ['cow']]",hacow,hacow,0.5,0.69314718056,False,0.6931471805599453
3,3,"[<__main__.Word instance at 0x10ea189e0>
 <__main__.Word instance at 0x10ea18c20>]",Ethan,1_0,False,True,"[['quack'], ['quack']]",quackquack,quackquack,0.5,0.69314718056,True,-0.0
4,4,[<__main__.Word instance at 0x10ea18bd8>],Ethan,1_0,False,True,[['cow']],cow,cow,1.0,0.0,False,-0.0
5,5,[<__main__.Word instance at 0x10ebafa70>],Ethan,1_0,False,True,[['bubbles']],bubbles,bubbles,1.0,0.0,False,-0.0
6,6,[<__main__.Word instance at 0x10ebafcf8>],Ethan,1_0,False,True,[['bubble']],bubble,bubble,1.0,0.0,False,-0.0
7,7,[<__main__.Word instance at 0x10ebaf758>],Ethan,1_0,False,True,[['bubbles']],bubbles,bubbles,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x10ebe6098>],Ethan,1_0,False,True,[['mom']],mom,mom,1.0,0.0,False,-0.0
9,9,[<__main__.Word instance at 0x10ebe6290>],Ethan,1_0,False,True,[['block']],block,block,1.0,0.0,False,-0.0
10,10,[<__main__.Word instance at 0x10ebe64d0>],Ethan,1_0,False,True,[['bah']],bah,bah,1.0,0.0,False,-0.0
11,11,[<__main__.Word instance at 0x10ebe68c0>],Ethan,1_0,False,True,[['bus']],bus,bus,1.0,0.0,False,-0.0
12,12,"[<__main__.Word instance at 0x10ebe6a28>
 <__main__.Word instance at 0x10ebe6b00>]",Ethan,1_0,False,True,"[['ball'], ['ball']]",ballball,ballball,0.5,0.69314718056,True,-0.0
13,13,[<__main__.Word instance at 0x10ebe6cf8>],Ethan,1_0,False,True,[['balloon']],balloon,balloon,1.0,0.0,False,-0.0
14,14,[<__main__.Word instance at 0x10ebe6e18>],Ethan,1_0,False,True,[['daddy']],daddy,daddy,1.0,0.0,False,-0.0
15,15,[<__main__.Word instance at 0x10ebe6ea8>],Ethan,1_0,False,True,[['&']],&,&,1.0,0.0,False,-0.0
16,16,[<__main__.Word instance at 0x11bb840e0>],Ethan,1_0,False,True,[['baby']],baby,baby,1.0,0.0,False,-0.0
17,17,[<__main__.Word instance at 0x11bb84290>],Ethan,1_0,False,True,[['ball']],ball,ball,1.0,0.0,False,-0.0
18,18,[<__main__.Word instance at 0x11bb843f8>],Ethan,1_0,False,True,[['baby']],baby,baby,1.0,0.0,False,-0.0
19,19,[<__main__.Word instance at 0x11bb845a8>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
20,20,[<__main__.Word instance at 0x11bb84758>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
21,21,[<__main__.Word instance at 0x11bb847e8>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
22,22,[<__main__.Word instance at 0x11bb84908>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
23,23,[<__main__.Word instance at 0x11bb84d40>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
24,24,[<__main__.Word instance at 0x11bb84a70>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
25,25,[<__main__.Word instance at 0x11bb84ea8>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
26,26,[<__main__.Word instance at 0x11bb88170>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
27,27,[<__main__.Word instance at 0x11bb883b0>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
28,28,[<__main__.Word instance at 0x11bb88488>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
29,29,[<__main__.Word instance at 0x11bb883f8>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
30,30,"[<__main__.Word instance at 0x11bb884d0>
 <__main__.Word instance at 0x11bb88710>]",Ethan,1_0,False,True,"[['box'], ['box']]",boxbox,boxbox,0.5,0.69314718056,True,-0.0
31,31,[<__main__.Word instance at 0x11bb887a0>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
32,32,"[<__main__.Word instance at 0x11bb88950>
 <__main__.Word instance at 0x11bb88830>]",Ethan,1_0,False,True,"[['box'], ['box']]",boxbox,boxbox,0.5,0.69314718056,True,-0.0
33,33,[<__main__.Word instance at 0x11bb88680>],Ethan,1_0,False,True,[['box']],box,box,1.0,0.0,False,-0.0
34,34,[<__main__.Word instance at 0x11bb88908>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
35,35,[<__main__.Word instance at 0x11bb88a70>],Ethan,1_0,False,True,[['sticky']],sticky,sticky,1.0,0.0,False,-0.0
36,36,[<__main__.Word instance at 0x11bb88d40>],Ethan,1_0,False,True,[['star']],star,star,1.0,0.0,False,-0.0
37,37,[<__main__.Word instance at 0x11bb88b00>],Ethan,1_0,False,True,[['star']],star,star,1.0,0.0,False,-0.0
38,38,[<__main__.Word instance at 0x11bb88ef0>],Ethan,1_0,False,True,[['up']],up,up,1.0,0.0,False,-0.0
39,39,[<__main__.Word instance at 0x11bb88e60>],Ethan,1_0,False,True,[['star']],star,star,1.0,0.0,False,-0.0
40,40,[<__main__.Word instance at 0x11bb8b098>],Ethan,1_0,False,True,[['mom']],mom,mom,1.0,0.0,False,-0.0
41,41,[<__main__.Word instance at 0x11bb8b0e0>],Ethan,1_0,False,True,[['apple']],apple,apple,1.0,0.0,False,-0.0
42,42,[<__main__.Word instance at 0x11bb8b1b8>],Ethan,1_0,False,True,[['apple']],apple,apple,1.0,0.0,False,-0.0
43,43,[<__main__.Word instance at 0x11bb8b710>],Ethan,1_0,False,True,[['tired']],tired,tired,1.0,0.0,False,-0.0
44,44,[<__main__.Word instance at 0x11bb8b7e8>],Ethan,1_0,False,True,[['ball']],ball,ball,1.0,0.0,False,-0.0
45,45,[<__main__.Word instance at 0x11bb8b9e0>],Ethan,1_0,False,True,[['meow']],meow,meow,1.0,0.0,False,-0.0
46,46,[<__main__.Word instance at 0x11bb8bab8>],Ethan,1_0,False,True,[['dog']],dog,dog,1.0,0.0,False,-0.0
