,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x1232aa368>],Lily,3_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x1232aa560>],Lily,3_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
2,2,[<__main__.Word instance at 0x1232aa7e8>],Lily,3_6,False,True,[['nothing']],nothing,nothing,1.0,0.0,False,-0.0
3,3,[<__main__.Word instance at 0x1232aa9e0>],Lily,3_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x1232aab00>
 <__main__.Word instance at 0x1232aab48>]",Lily,3_6,False,True,"[['which'], ['Elasmosaurus']]",whichElasmosaurus,whichElasmosaurus,0.5,0.69314718056,False,0.6931471805599453
5,5,[<__main__.Word instance at 0x1232aad88>],Lily,3_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
6,6,[<__main__.Word instance at 0x1232aae60>],Lily,3_6,False,True,[['mommy']],mommy,mommy,1.0,0.0,False,-0.0
7,7,"[<__main__.Word instance at 0x10cf1f560>
 <__main__.Word instance at 0x10cf1fa70>]",Lily,3_6,False,True,"[['&-uh'], ['&-uh']]",&-uh&-uh,&-uh&-uh,0.5,0.69314718056,True,-0.0
8,8,"[<__main__.Word instance at 0x10cf1fcf8>
 <__main__.Word instance at 0x10cf1fa28>
 <__main__.Word instance at 0x10cf1f758>
 <__main__.Word instance at 0x10cf1f710>]",Lily,3_6,False,False,"[['&-um'], ['want'], ['I', ""don't""]]",Idon'twant&-um,want&-umIdon't,0.166666666667,-0.182321556794,False,-0.1823215567939546
9,9,"[<__main__.Word instance at 0x10cf1f8c0>
 <__main__.Word instance at 0x10cf1ff80>
 <__main__.Word instance at 0x10cf1f4d0>]",Lily,3_6,False,False,"[['in'], ['backpack'], ['the']]",inthebackpack,backpackinthe,0.166666666667,-0.182321556794,False,-0.1823215567939546
10,10,"[<__main__.Word instance at 0x10cf1f680>
 <__main__.Word instance at 0x10cd86a28>
 <__main__.Word instance at 0x10cd866c8>]",Lily,3_6,False,False,"[['know'], ['I', ""don't""]]",Idon'tknow,knowIdon't,0.5,-0.69314718056,False,-0.6931471805599453
11,11,"[<__main__.Word instance at 0x10cd86878>
 <__main__.Word instance at 0x10cd86b48>]",Lily,3_6,False,True,"[['Manuela'], ['my']]",myManuela,myManuela,0.5,0.69314718056,False,0.6931471805599453
12,12,[<__main__.Word instance at 0x10cd86908>],Lily,3_6,False,True,"[[""Gabi's""]]",Gabi's,Gabi's,1.0,0.0,False,-0.0
13,13,[<__main__.Word instance at 0x10cd889e0>],Lily,3_6,False,True,[['what']],what,what,1.0,0.0,False,-0.0
14,14,"[<__main__.Word instance at 0x1232b1098>
 <__main__.Word instance at 0x1232b1128>]",Lily,3_6,False,False,"[['lizard'], ['thunder']]",thunderlizard,lizardthunder,0.5,-0.69314718056,False,-0.6931471805599453
15,15,"[<__main__.Word instance at 0x1232b1248>
 <__main__.Word instance at 0x1232b12d8>
 <__main__.Word instance at 0x1232b1320>
 <__main__.Word instance at 0x1232b13f8>
 <__main__.Word instance at 0x1232b15f0>
 <__main__.Word instance at 0x1232b1488>
 <__main__.Word instance at 0x1232b16c8>]",Lily,3_6,False,False,"[['is'], ['for'], ['spanish'], ['what'], ['word'], ['is'], ['that']]",isthatwhatspanishwordforis,thatisforwordiswhatspanish,0.000198412698413,-0.000198432384816,True,-0.00039690415285879686
16,16,[<__main__.Word instance at 0x1232b1758>],Lily,3_6,False,True,[['&']],&,&,1.0,0.0,False,-0.0
17,17,"[<__main__.Word instance at 0x1232b1638>
 <__main__.Word instance at 0x1232b19e0>
 <__main__.Word instance at 0x1232b1680>
 <__main__.Word instance at 0x1232b1b90>
 <__main__.Word instance at 0x1232b15a8>]",Lily,3_6,False,False,"[['on'], ['I', ""don't""], ['this'], ['want']]",Idon'twantthison,thisonwantIdon't,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
18,18,[<__main__.Word instance at 0x1232b1d40>],Lily,3_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
19,19,"[<__main__.Word instance at 0x1232b1c20>
 <__main__.Word instance at 0x1232b1ea8>
 <__main__.Word instance at 0x1232b1fc8>]",Lily,3_6,False,False,"[['off'], ['take'], ['it']]",takeitoff,itofftake,0.166666666667,-0.182321556794,False,-0.1823215567939546
20,20,[<__main__.Word instance at 0x1232b4098>],Lily,3_6,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
21,21,[<__main__.Word instance at 0x1232b4200>],Lily,3_6,False,True,[['okay']],okay,okay,1.0,0.0,False,-0.0
22,22,"[<__main__.Word instance at 0x1232b44d0>
 <__main__.Word instance at 0x1232b4290>
 <__main__.Word instance at 0x1232b4560>]",Lily,3_6,False,True,"[['dinosaur'], ['dinosaur'], ['dinosaur']]",dinosaurdinosaurdinosaur,dinosaurdinosaurdinosaur,0.166666666667,1.79175946923,True,-0.0
23,23,[<__main__.Word instance at 0x1232b4638>],Lily,3_6,False,True,[['dinosaur']],dinosaur,dinosaur,1.0,0.0,False,-0.0
24,24,"[<__main__.Word instance at 0x1232b4710>
 <__main__.Word instance at 0x1232b45a8>]",Lily,3_6,False,True,"[['dinosaur'], ['dinosaur']]",dinosaurdinosaur,dinosaurdinosaur,0.5,0.69314718056,True,-0.0
25,25,[<__main__.Word instance at 0x1232b4680>],Lily,3_6,False,True,[['Pachycephalosaurus']],Pachycephalosaurus,Pachycephalosaurus,1.0,0.0,False,-0.0
26,26,"[<__main__.Word instance at 0x1232b4758>
 <__main__.Word instance at 0x1232b4908>]",Lily,3_6,False,False,"[['Elasmosaurus'], ['and']]",andElasmosaurus,Elasmosaurusand,0.5,-0.69314718056,False,-0.6931471805599453
27,27,[<__main__.Word instance at 0x1232b4b00>],Lily,3_6,False,True,[['well']],well,well,1.0,0.0,False,-0.0
28,28,[<__main__.Word instance at 0x1232b4bd8>],Lily,3_6,False,True,[['mommy']],mommy,mommy,1.0,0.0,False,-0.0
29,29,"[<__main__.Word instance at 0x1232b4c68>
 <__main__.Word instance at 0x1232b4b48>]",Lily,3_6,False,False,"[['yes'], ['honey']]",yeshoney,honeyyes,0.5,-0.69314718056,False,-0.6931471805599453
30,30,[<__main__.Word instance at 0x1232b4d88>],Lily,3_6,False,True,[['my']],my,my,1.0,0.0,False,-0.0
31,31,[<__main__.Word instance at 0x1232b4e60>],Lily,3_6,False,True,[['see']],see,see,1.0,0.0,False,-0.0
32,32,"[<__main__.Word instance at 0x1232b70e0>
 <__main__.Word instance at 0x1232b71b8>
 <__main__.Word instance at 0x1232b7290>
 <__main__.Word instance at 0x1232b7128>]",Lily,3_6,False,False,"[['see'], ['you', 'wanna'], ['mom']]",youwannaseemom,seemomyouwanna,0.166666666667,-0.182321556794,False,-0.1823215567939546
33,33,[<__main__.Word instance at 0x1232b7200>],Lily,3_6,False,True,[['look']],look,look,1.0,0.0,False,-0.0
34,34,"[<__main__.Word instance at 0x1232b7560>
 <__main__.Word instance at 0x1232b72d8>
 <__main__.Word instance at 0x1232b75a8>
 <__main__.Word instance at 0x1232b73f8>
 <__main__.Word instance at 0x1232b7680>
 <__main__.Word instance at 0x1232b7488>
 <__main__.Word instance at 0x1232b78c0>]",Lily,3_6,False,False,"[['breaking'], ['half'], ['are'], ['you'], ['in'], ['it'], ['why']]",whyareyoubreakingitinhalf,youareinhalfitwhybreaking,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
35,35,[<__main__.Word instance at 0x1232b7998>],Lily,3_6,False,True,[['mhm']],mhm,mhm,1.0,0.0,False,-0.0
36,36,[<__main__.Word instance at 0x1232b7908>],Lily,3_6,False,True,[['where']],where,where,1.0,0.0,False,-0.0
37,37,[<__main__.Word instance at 0x1232b79e0>],Lily,3_6,False,True,[['uhhuh']],uhhuh,uhhuh,1.0,0.0,False,-0.0
38,38,"[<__main__.Word instance at 0x1232b7b90>
 <__main__.Word instance at 0x1232b7dd0>
 <__main__.Word instance at 0x1232b7878>]",Lily,3_6,False,False,"[['Museum'], ['Natural'], ['History']]",NaturalHistoryMuseum,MuseumNaturalHistory,0.166666666667,-0.182321556794,False,-0.1823215567939546
