,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x10f694560>
 <__main__.Word instance at 0x10f694a70>
 <__main__.Word instance at 0x10f6947a0>
 <__main__.Word instance at 0x10f694cf8>
 <__main__.Word instance at 0x10f694a28>
 <__main__.Word instance at 0x10f694758>
 <__main__.Word instance at 0x10f6948c0>
 <__main__.Word instance at 0x10f694518>
 <__main__.Word instance at 0x1237a4638>]",Naima,2_6,False,False,"[['to'], ['why'], ['the', 'ship'], ['the', 'land'], ['do'], ['see'], ['want']]",whydotheshipwanttoseetheland,dowhywanttoseethelandtheship,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
1,1,[<__main__.Word instance at 0x1237a4830>],Naima,2_6,False,True,[['why']],why,why,1.0,0.0,False,-0.0
2,2,"[<__main__.Word instance at 0x1237a4b48>
 <__main__.Word instance at 0x1237a4c68>
 <__main__.Word instance at 0x1237a4d88>
 <__main__.Word instance at 0x1237a4ea8>
 <__main__.Word instance at 0x1237a4fc8>
 <__main__.Word instance at 0x10f4efcf8>
 <__main__.Word instance at 0x10f4fd9e0>
 <__main__.Word instance at 0x1237ab128>
 <__main__.Word instance at 0x1237ab248>
 <__main__.Word instance at 0x1237ab368>]",Naima,2_6,False,False,"[['do'], ['why'], ['ships'], ['want'], ['do'], ['to'], ['the', 'land'], ['the'], ['see']]",whydodotheshipswanttoseetheland,dodowhythetoseethelandwantships,2.7557319224e-06,-2.75573571947e-06,True,-5.511479032926645e-06
3,3,[<__main__.Word instance at 0x1237ab5a8>],Naima,2_6,False,True,[['why']],why,why,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x1237ab5f0>
 <__main__.Word instance at 0x1237ab950>
 <__main__.Word instance at 0x1237ab7e8>
 <__main__.Word instance at 0x1237abb48>
 <__main__.Word instance at 0x1237ab9e0>
 <__main__.Word instance at 0x1237abd40>
 <__main__.Word instance at 0x1237abbd8>
 <__main__.Word instance at 0x1237abf38>]",Naima,2_6,False,False,"[['ship'], ['the', 'fog'], ['horn'], [""I'm""], ['a'], ['I', 'hear']]",I'mashipIhearthefoghorn,athefoghornshipI'mIhear,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
5,5,[<__main__.Word instance at 0x1237abfc8>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
6,6,"[<__main__.Word instance at 0x10f4fb6c8>
 <__main__.Word instance at 0x10f4fb908>
 <__main__.Word instance at 0x10f4fb998>
 <__main__.Word instance at 0x10f4fbb48>]",Naima,2_6,False,False,"[['a'], ['fog', 'horn'], [""Daddy's""]]",Daddy'safoghorn,afoghornDaddy's,0.166666666667,-0.182321556794,False,-0.1823215567939546
7,7,[<__main__.Word instance at 0x1237af170>],Naima,2_6,False,True,[['why']],why,why,1.0,0.0,False,-0.0
8,8,"[<__main__.Word instance at 0x1237af200>
 <__main__.Word instance at 0x1237af440>
 <__main__.Word instance at 0x1237af4d0>
 <__main__.Word instance at 0x1237af368>
 <__main__.Word instance at 0x1237af5a8>]",Naima,2_6,False,True,"[['time'], ['at'], ['Maine'], ['spend'], ['the']]",spendthetimeatMaine,spendthetimeatMaine,0.00833333333333,4.78749174278,False,4.787491742782046
9,9,"[<__main__.Word instance at 0x1237af680>
 <__main__.Word instance at 0x1237af518>
 <__main__.Word instance at 0x1237af758>]",Naima,2_6,False,True,"[['and'], ['the', 'tape']]",andthetape,andthetape,0.5,0.69314718056,False,0.6931471805599453
10,10,"[<__main__.Word instance at 0x1237af830>
 <__main__.Word instance at 0x1237af6c8>]",Naima,2_6,False,True,"[['yeah'], ['no']]",yeahno,yeahno,0.5,0.69314718056,False,0.6931471805599453
11,11,[<__main__.Word instance at 0x1237af7a0>],Naima,2_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
12,12,[<__main__.Word instance at 0x1237afb48>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
13,13,[<__main__.Word instance at 0x1237afbd8>],Naima,2_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
14,14,"[<__main__.Word instance at 0x1237afcf8>
 <__main__.Word instance at 0x1237af9e0>
 <__main__.Word instance at 0x1237afe18>
 <__main__.Word instance at 0x1237af950>
 <__main__.Word instance at 0x1237afef0>]",Naima,2_6,False,False,"[['want'], ['I', ""don't""], ['the', 'water']]",Idon'twantthewater,thewaterwantIdon't,0.166666666667,-0.182321556794,False,-0.1823215567939546
15,15,"[<__main__.Word instance at 0x1237affc8>
 <__main__.Word instance at 0x1237afe60>]",Naima,2_6,False,True,"[[""I'm"", 'gonna']]",I'mgonna,I'mgonna,1.0,0.0,False,-0.0
16,16,"[<__main__.Word instance at 0x1237afb00>
 <__main__.Word instance at 0x1237b20e0>]",Naima,2_6,False,True,"[['to', 'Dad']]",toDad,toDad,1.0,0.0,False,-0.0
17,17,[<__main__.Word instance at 0x1237b2050>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
18,18,"[<__main__.Word instance at 0x1237b2128>
 <__main__.Word instance at 0x1237b23b0>
 <__main__.Word instance at 0x1237b2200>]",Naima,2_6,False,False,"[[""what's""], ['pose'], ['that']]",what'sthatpose,thatwhat'spose,0.166666666667,-0.182321556794,False,-0.1823215567939546
19,19,[<__main__.Word instance at 0x1237b2248>],Naima,2_6,False,True,[['why']],why,why,1.0,0.0,False,-0.0
20,20,"[<__main__.Word instance at 0x1237b2320>
 <__main__.Word instance at 0x1237b26c8>
 <__main__.Word instance at 0x1237b2560>
 <__main__.Word instance at 0x1237b2830>
 <__main__.Word instance at 0x1237b28c0>
 <__main__.Word instance at 0x1237b2758>]",Naima,2_6,False,False,"[['tonight'], ['book'], ['read'], ['library'], ['a', 'good']]",readagoodlibrarybooktonight,librarybookagoodtonightread,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
21,21,"[<__main__.Word instance at 0x1237b2638>
 <__main__.Word instance at 0x1237b2b48>
 <__main__.Word instance at 0x1237b29e0>
 <__main__.Word instance at 0x1237b2c68>]",Naima,2_6,False,False,"[['and', 'then'], ['this'], ['this']]",thisandthenthis,thisthisandthen,0.166666666667,-0.182321556794,True,-0.4054651081081643
22,22,"[<__main__.Word instance at 0x1237b2d40>
 <__main__.Word instance at 0x1237b2680>]",Naima,2_6,False,False,"[['this'], ['then']]",thenthis,thisthen,0.5,-0.69314718056,False,-0.6931471805599453
23,23,"[<__main__.Word instance at 0x1237b2cb0>
 <__main__.Word instance at 0x1237b2fc8>
 <__main__.Word instance at 0x1237b2e60>
 <__main__.Word instance at 0x1237b2b00>
 <__main__.Word instance at 0x1237b2bd8>]",Naima,2_6,False,False,"[['then'], ['this'], ['this'], ['and', 'then']]",thenthisandthenthis,thisthisandthenthen,0.0416666666667,-0.0425596144188,True,-0.08701137698962981
24,24,"[<__main__.Word instance at 0x1237b6248>
 <__main__.Word instance at 0x1237b6128>]",Naima,2_6,False,False,"[['this'], ['then']]",thenthis,thisthen,0.5,-0.69314718056,False,-0.6931471805599453
25,25,[<__main__.Word instance at 0x1237b6320>],Naima,2_6,False,True,[['this']],this,this,1.0,0.0,False,-0.0
26,26,[<__main__.Word instance at 0x1237b6200>],Naima,2_6,False,True,[['this']],this,this,1.0,0.0,False,-0.0
27,27,"[<__main__.Word instance at 0x1237b65a8>
 <__main__.Word instance at 0x1237b67a0>]",Naima,2_6,False,False,"[['and'], ['this']]",andthis,thisand,0.5,-0.69314718056,False,-0.6931471805599453
28,28,"[<__main__.Word instance at 0x1237b6878>
 <__main__.Word instance at 0x1237b6710>
 <__main__.Word instance at 0x1237b6908>
 <__main__.Word instance at 0x1237b67e8>
 <__main__.Word instance at 0x1237b6a28>
 <__main__.Word instance at 0x1237b6560>
 <__main__.Word instance at 0x1237b6b00>
 <__main__.Word instance at 0x1237b6b90>
 <__main__.Word instance at 0x1237b64d0>]",Naima,2_6,False,False,"[['and'], ['and'], ['is'], ['favorite'], ['this'], ['and'], ['this'], ['this'], ['my']]",andthisthisthisismyfavoriteandand,thisisthisthisandmyfavoriteandand,2.7557319224e-06,-2.75573571947e-06,True,-9.921127048169414e-05
29,29,[<__main__.Word instance at 0x1237b6cf8>],Naima,2_6,False,True,[['this']],this,this,1.0,0.0,False,-0.0
30,30,"[<__main__.Word instance at 0x1237b6a70>
 <__main__.Word instance at 0x1237b6ea8>
 <__main__.Word instance at 0x1237b90e0>]",Naima,2_6,False,False,"[['I'], ['want'], ['Mommy']]",IwantMommy,MommyIwant,0.166666666667,-0.182321556794,False,-0.1823215567939546
31,31,"[<__main__.Word instance at 0x1237b9050>
 <__main__.Word instance at 0x1237b9320>]",Naima,2_6,False,False,"[['like'], [""it's""]]",it'slike,likeit's,0.5,-0.69314718056,False,-0.6931471805599453
32,32,[<__main__.Word instance at 0x1237b9440>],Naima,2_6,False,True,[['this']],this,this,1.0,0.0,False,-0.0
33,33,"[<__main__.Word instance at 0x1237b9998>
 <__main__.Word instance at 0x1237b9680>]",Naima,2_6,False,False,"[['and'], ['this']]",andthis,thisand,0.5,-0.69314718056,False,-0.6931471805599453
34,34,"[<__main__.Word instance at 0x1237b9560>
 <__main__.Word instance at 0x1237b9c68>]",Naima,2_6,False,True,"[['and'], ['spots']]",andspots,andspots,0.5,0.69314718056,False,0.6931471805599453
35,35,"[<__main__.Word instance at 0x1237b9cb0>
 <__main__.Word instance at 0x1237b9bd8>
 <__main__.Word instance at 0x1237b9ea8>
 <__main__.Word instance at 0x1237b9d40>
 <__main__.Word instance at 0x1237b9f38>
 <__main__.Word instance at 0x1237b9830>
 <__main__.Word instance at 0x1237b9a70>
 <__main__.Word instance at 0x1237b9e60>]",Naima,2_6,False,False,"[['I'], ['like'], ['bears'], ['book'], ['I'], ['this'], ['would'], ['love']]",IwouldlovethisbookIlikebears,thisbookIwouldlovebearslikeI,2.48015873016e-05,-2.4801894866e-05,True,-4.9604404881379266e-05
36,36,"[<__main__.Word instance at 0x1237bd290>
 <__main__.Word instance at 0x1237bd170>
 <__main__.Word instance at 0x1237bd368>
 <__main__.Word instance at 0x1237bd440>
 <__main__.Word instance at 0x1237bd2d8>
 <__main__.Word instance at 0x1237bd518>
 <__main__.Word instance at 0x1237bd3b0>
 <__main__.Word instance at 0x1237bd5f0>]",Naima,2_6,False,False,"[['a'], ['away'], [""Dad's""], ['fog', 'horn'], ['Dad'], ['to', 'stay']]",tostayawayDadDad'safoghorn,afoghorntostayDadawayDad's,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
37,37,"[<__main__.Word instance at 0x1237bd6c8>
 <__main__.Word instance at 0x1237bd560>
 <__main__.Word instance at 0x1237bd7a0>
 <__main__.Word instance at 0x1237bd638>
 <__main__.Word instance at 0x1237bd830>
 <__main__.Word instance at 0x1237bd710>
 <__main__.Word instance at 0x1237bd9e0>]",Naima,2_6,False,False,"[['the'], ['a'], ['tell'], [""Dad's""], ['ships'], ['fog', 'horn']]",Dad'safoghorntelltheships,thetellfoghornshipsaDad's,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
38,38,"[<__main__.Word instance at 0x1237bdb90>
 <__main__.Word instance at 0x1237bdab8>]",Naima,2_6,False,False,"[['read'], ['yes']]",yesread,readyes,0.5,-0.69314718056,False,-0.6931471805599453
39,39,[<__main__.Word instance at 0x1237bdc20>],Naima,2_6,False,True,[['and']],and,and,1.0,0.0,False,-0.0
40,40,"[<__main__.Word instance at 0x1237bdb00>
 <__main__.Word instance at 0x1237bdef0>
 <__main__.Word instance at 0x1237bdbd8>
 <__main__.Word instance at 0x1237bdfc8>]",Naima,2_6,False,False,"[['want'], ['and'], ['I'], ['and']]",andandIwant,andIwantand,0.0416666666667,-0.0425596144188,True,-0.08701137698962981
41,41,"[<__main__.Word instance at 0x1237bf2d8>
 <__main__.Word instance at 0x1237bf248>
 <__main__.Word instance at 0x1237bf488>
 <__main__.Word instance at 0x1237bf3b0>
 <__main__.Word instance at 0x1237bf680>]",Naima,2_6,False,False,"[['that'], ['after'], ['and'], ['the', 'Spot']]",andtheSpotafterthat,afterthatandtheSpot,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
42,42,"[<__main__.Word instance at 0x1237bf758>
 <__main__.Word instance at 0x1237bf440>
 <__main__.Word instance at 0x1237bf7e8>
 <__main__.Word instance at 0x1237bf6c8>
 <__main__.Word instance at 0x1237bfc20>
 <__main__.Word instance at 0x1237bf368>]",Naima,2_6,False,False,"[['and'], ['has'], ['it'], ['flaps'], ['in'], ['this']]",andthishasflapsinit,thisinithasandflaps,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
43,43,"[<__main__.Word instance at 0x1237bfb00>
 <__main__.Word instance at 0x1237bfef0>
 <__main__.Word instance at 0x1237bfe18>
 <__main__.Word instance at 0x1237bff80>
 <__main__.Word instance at 0x1237bf9e0>
 <__main__.Word instance at 0x1237c2128>
 <__main__.Word instance at 0x1237c2200>
 <__main__.Word instance at 0x1237c22d8>
 <__main__.Word instance at 0x1237c2170>
 <__main__.Word instance at 0x1237c2488>]",Naima,2_6,False,False,"[['Spot'], ['is'], ['flap'], ['to'], ['go'], ['book'], ['this'], ['this'], ['the', 'circus']]",thisthisisflapbookSpotgotothecircus,thisbookisthistogoflapthecircusSpot,2.7557319224e-06,-2.75573571947e-06,True,-5.511479032926645e-06
44,44,"[<__main__.Word instance at 0x1237c2560>
 <__main__.Word instance at 0x1237c2320>
 <__main__.Word instance at 0x1237c25f0>
 <__main__.Word instance at 0x1237c24d0>
 <__main__.Word instance at 0x1237c26c8>
 <__main__.Word instance at 0x1237c2098>]",Naima,2_6,False,False,"[['I'], ['cause'], ['I'], ['do'], ['like', 'flaps']]",IdocauseIlikeflaps,doIIcauselikeflaps,0.00833333333333,-0.00836824967052,True,-0.01680711831638129
45,45,"[<__main__.Word instance at 0x1237c2758>
 <__main__.Word instance at 0x1237c2cb0>
 <__main__.Word instance at 0x1237c2b00>
 <__main__.Word instance at 0x1237c2d40>
 <__main__.Word instance at 0x1237c20e0>
 <__main__.Word instance at 0x1237c2dd0>]",Naima,2_6,False,False,"[['I', ""don't""], ['want'], ['on'], ['the', 'backpack']]",Idon'twantthebackpackon,onIdon'twantthebackpack,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
46,46,"[<__main__.Word instance at 0x1237c2ea8>
 <__main__.Word instance at 0x1237c2c20>]",Naima,2_6,False,False,"[['this'], ['read']]",readthis,thisread,0.5,-0.69314718056,False,-0.6931471805599453
47,47,"[<__main__.Word instance at 0x1237c2a70>
 <__main__.Word instance at 0x1237c2f38>
 <__main__.Word instance at 0x1237c50e0>]",Naima,2_6,False,False,"[['for'], ['and'], ['this']]",andforthis,thisforand,0.166666666667,-0.182321556794,False,-0.1823215567939546
48,48,[<__main__.Word instance at 0x1237c5368>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
49,49,"[<__main__.Word instance at 0x1237c5680>
 <__main__.Word instance at 0x1237c5560>
 <__main__.Word instance at 0x1237c57a0>]",Naima,2_6,False,False,"[['gonna'], ['read'], ['this']]",gonnareadthis,thisgonnaread,0.166666666667,-0.182321556794,False,-0.1823215567939546
50,50,"[<__main__.Word instance at 0x1237c57e8>
 <__main__.Word instance at 0x1237c5638>
 <__main__.Word instance at 0x1237c5998>
 <__main__.Word instance at 0x1237c5878>]",Naima,2_6,False,False,"[['this'], ['this'], ['one'], ['one']]",thisonethisone,thisoneonethis,0.0416666666667,-0.0425596144188,True,-0.1823215567939546
51,51,[<__main__.Word instance at 0x1237c5cf8>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
52,52,"[<__main__.Word instance at 0x1237c5f38>
 <__main__.Word instance at 0x1237c56c8>
 <__main__.Word instance at 0x1237c5ea8>
 <__main__.Word instance at 0x1237c8098>]",Naima,2_6,False,False,"[['two'], ['Heather'], ['has'], ['mommies']]",Heatherhastwomommies,twohasHeathermommies,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
53,53,"[<__main__.Word instance at 0x1237c8200>
 <__main__.Word instance at 0x1237c80e0>]",Naima,2_6,False,True,"[['the', 'library']]",thelibrary,thelibrary,1.0,0.0,False,-0.0
54,54,[<__main__.Word instance at 0x1237c8290>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
55,55,"[<__main__.Word instance at 0x1237c8440>
 <__main__.Word instance at 0x1237c8710>
 <__main__.Word instance at 0x1237c85f0>
 <__main__.Word instance at 0x1237c8908>]",Naima,2_6,False,False,"[['a'], [""I'm""], ['sweet'], ['little']]",I'masweetlittle,asweetlittleI'm,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
56,56,"[<__main__.Word instance at 0x1237c8ab8>
 <__main__.Word instance at 0x1237c8cb0>
 <__main__.Word instance at 0x1237c87a0>
 <__main__.Word instance at 0x1237c8e18>
 <__main__.Word instance at 0x1237c8cf8>
 <__main__.Word instance at 0x1237c8ef0>]",Naima,2_6,False,False,"[['little'], ['mommy'], [""I'm""], ['sweet'], ['yeah'], ['a']]",yeahI'masweetlittlemommy,asweetlittleI'mmommyyeah,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
57,57,"[<__main__.Word instance at 0x1237c8ea8>
 <__main__.Word instance at 0x1237c8fc8>]",Naima,2_6,False,False,"[[""I'm""], ['a']]",I'ma,aI'm,0.5,-0.69314718056,False,-0.6931471805599453
58,58,"[<__main__.Word instance at 0x1237cb0e0>
 <__main__.Word instance at 0x1237cb1b8>
 <__main__.Word instance at 0x1237cb3f8>]",Naima,2_6,False,False,"[[""I'm"", 'getting'], ['warm']]",I'mgettingwarm,warmI'mgetting,0.5,-0.69314718056,False,-0.6931471805599453
59,59,"[<__main__.Word instance at 0x1237cb488>
 <__main__.Word instance at 0x1237cb758>]",Naima,2_6,False,False,"[['I'], ['go']]",Igo,goI,0.5,-0.69314718056,False,-0.6931471805599453
