,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x1205a4cb0>],Violet,4_0,False,True,[['trick']],trick,trick,1.0,0.0,False,-0.0
1,1,"[<__main__.Word instance at 0x1205a4ea8>
 <__main__.Word instance at 0x10fa96cf8>
 <__main__.Word instance at 0x10fc3b560>
 <__main__.Word instance at 0x10fc3ba70>
 <__main__.Word instance at 0x10fc3b7a0>]",Violet,4_0,False,False,"[['need'], ['in'], ['here'], ['this'], ['light']]",needthislightinhere,herethisinneedlight,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
2,2,[<__main__.Word instance at 0x10fc3ba28>],Violet,4_0,False,True,[['Tigri']],Tigri,Tigri,1.0,0.0,False,-0.0
3,3,"[<__main__.Word instance at 0x10fc3b8c0>
 <__main__.Word instance at 0x10fc3b9e0>
 <__main__.Word instance at 0x10fc3b680>
 <__main__.Word instance at 0x10fc3b518>
 <__main__.Word instance at 0x10fc3b4d0>
 <__main__.Word instance at 0x10fc3b488>
 <__main__.Word instance at 0x10fc3b3f8>
 <__main__.Word instance at 0x10fc3b440>
 <__main__.Word instance at 0x10fc3bf80>]",Violet,4_0,False,False,"[['get'], ['first'], ['of'], ['have_to'], ['in'], ['book'], ['I'], ['ready'], ['my']]",firstIhave_togetreadyinmybookof,inmybookfirstIhave_togetreadyof,2.7557319224e-06,-2.75573571947e-06,False,-2.7557357194686928e-06
4,4,"[<__main__.Word instance at 0x1205aa200>
 <__main__.Word instance at 0x1205aa2d8>
 <__main__.Word instance at 0x1205aa3f8>]",Violet,4_0,False,True,"[['tigers'], ['airborne'], [""there's""]]",there'sairbornetigers,there'sairbornetigers,0.166666666667,1.79175946923,False,1.791759469228055
5,5,"[<__main__.Word instance at 0x1205aa518>
 <__main__.Word instance at 0x1205aa5a8>
 <__main__.Word instance at 0x1205aa638>]",Violet,4_0,False,False,"[['up'], [""he's""], ['going']]",he'sgoingup,upgoinghe's,0.166666666667,-0.182321556794,False,-0.1823215567939546
6,6,[<__main__.Word instance at 0x1205aa758>],Violet,4_0,False,True,[['up']],up,up,1.0,0.0,False,-0.0
7,7,"[<__main__.Word instance at 0x1205aa878>
 <__main__.Word instance at 0x1205aa908>
 <__main__.Word instance at 0x1205aa998>
 <__main__.Word instance at 0x1205aaa28>
 <__main__.Word instance at 0x1205aaab8>
 <__main__.Word instance at 0x1205aab48>
 <__main__.Word instance at 0x1205aabd8>
 <__main__.Word instance at 0x1205aac20>
 <__main__.Word instance at 0x1205aad40>]",Violet,4_0,False,False,"[['but'], ['go'], ['to'], ['him'], [""I'm"", 'trying'], ['make'], ['flippy'], ['yeah']]",yeahbutI'mtryingtomakehimgoflippy,gotomakehimyeahbutflippyI'mtrying,2.48015873016e-05,-2.4801894866e-05,False,-2.48018948660112e-05
8,8,"[<__main__.Word instance at 0x1205aaea8>
 <__main__.Word instance at 0x1205aaf38>
 <__main__.Word instance at 0x1205aafc8>]",Violet,4_0,False,True,"[['open'], ['the', 'door']]",openthedoor,openthedoor,0.5,0.69314718056,False,0.6931471805599453
9,9,"[<__main__.Word instance at 0x10faa25a8>
 <__main__.Word instance at 0x10faa2a28>
 <__main__.Word instance at 0x10faa2908>]",Violet,4_0,False,False,"[['it'], [""let's""], ['toss']]",let'stossit,tossitlet's,0.166666666667,-0.182321556794,False,-0.1823215567939546
10,10,[<__main__.Word instance at 0x10faa2878>],Violet,4_0,False,True,[['whoa']],whoa,whoa,1.0,0.0,False,-0.0
11,11,"[<__main__.Word instance at 0x10faa2b48>
 <__main__.Word instance at 0x10faa2998>
 <__main__.Word instance at 0x10faa4c68>]",Violet,4_0,False,False,"[['an'], ['extra'], ['one']]",anextraone,extraonean,0.166666666667,-0.182321556794,False,-0.1823215567939546
12,12,[<__main__.Word instance at 0x10faa4c20>],Violet,4_0,False,True,[['extra']],extra,extra,1.0,0.0,False,-0.0
13,13,[<__main__.Word instance at 0x10faa4ab8>],Violet,4_0,False,True,[['oh']],oh,oh,1.0,0.0,False,-0.0
