,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x115cafc68>
 <__main__.Word instance at 0x115cafdd0>
 <__main__.Word instance at 0x115cafe60>
 <__main__.Word instance at 0x115caffc8>
 <__main__.Word instance at 0x105718560>
 <__main__.Word instance at 0x105718a70>]",William,3_0,False,False,"[['go'], ['it'], ['I'], ['did'], ['more'], ['yay']]",Ididitgomoreyay,itdidIgoyaymore,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
1,1,"[<__main__.Word instance at 0x105718cf8>
 <__main__.Word instance at 0x105718a28>
 <__main__.Word instance at 0x105718758>
 <__main__.Word instance at 0x1057188c0>
 <__main__.Word instance at 0x105718518>]",William,3_0,False,True,"[['did'], ['it'], ['go'], ['more'], ['it']]",itdiditgomore,itdiditgomore,0.00833333333333,4.78749174278,True,4.0943445622221
2,2,"[<__main__.Word instance at 0x10557f908>
 <__main__.Word instance at 0x10557f998>
 <__main__.Word instance at 0x10557fb48>
 <__main__.Word instance at 0x105573cf8>
 <__main__.Word instance at 0x105581c20>
 <__main__.Word instance at 0x105581bd8>]",William,3_0,False,False,"[['yay'], ['it'], ['more'], ['it'], ['did'], ['go']]",itdiditgomoreyay,itdiditgoyaymore,0.00138888888889,-0.00138985428905,True,-0.002781642961876803
3,3,[<__main__.Word instance at 0x115cb51b8>],William,3_0,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x115cb53f8>
 <__main__.Word instance at 0x115cb5518>
 <__main__.Word instance at 0x115cb5638>]",William,3_0,False,False,"[['how'], ['about'], ['okay']]",okayhowabout,abouthowokay,0.166666666667,-0.182321556794,False,-0.1823215567939546
5,5,[<__main__.Word instance at 0x115cb5878>],William,3_0,False,True,[['purple']],purple,purple,1.0,0.0,False,-0.0
6,6,"[<__main__.Word instance at 0x115cb5a70>
 <__main__.Word instance at 0x115cb5cf8>]",William,3_0,False,False,"[['orange'], ['the']]",theorange,orangethe,0.5,-0.69314718056,False,-0.6931471805599453
7,7,"[<__main__.Word instance at 0x115cb5e60>
 <__main__.Word instance at 0x115cb5f38>
 <__main__.Word instance at 0x115cb5dd0>]",William,3_0,False,False,"[['orange'], ['oh'], ['orange']]",orangeorangeoh,orangeohorange,0.166666666667,-0.182321556794,True,-0.4054651081081643
8,8,"[<__main__.Word instance at 0x115cb5f80>
 <__main__.Word instance at 0x115cb5c68>
 <__main__.Word instance at 0x115cba050>
 <__main__.Word instance at 0x115cba128>]",William,3_0,False,False,"[['orange'], ['help'], ['can'], ['me']]",canhelpmeorange,orangemehelpcan,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
9,9,[<__main__.Word instance at 0x115cba290>],William,3_0,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
10,10,[<__main__.Word instance at 0x115cba3b0>],William,3_0,False,True,[['red']],red,red,1.0,0.0,False,-0.0
11,11,[<__main__.Word instance at 0x115cba758>],William,3_0,False,True,[['orange']],orange,orange,1.0,0.0,False,-0.0
