,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x111694d88>],Alex,2_0,False,True,[['Elmo']],Elmo,Elmo,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x111694f80>],Alex,2_0,False,True,[['apple']],apple,apple,1.0,0.0,False,-0.0
2,2,"[<__main__.Word instance at 0x1036cca28>
 <__main__.Word instance at 0x1036cc368>]",Alex,2_0,False,True,"[['a', 'star']]",astar,astar,1.0,0.0,False,-0.0
3,3,"[<__main__.Word instance at 0x1036cc878>
 <__main__.Word instance at 0x1036c0cf8>]",Alex,2_0,False,True,"[['right'], ['there']]",rightthere,rightthere,0.5,0.69314718056,False,0.6931471805599453
4,4,[<__main__.Word instance at 0x1036cec20>],Alex,2_0,False,True,[['that']],that,that,1.0,0.0,False,-0.0
5,5,"[<__main__.Word instance at 0x1036cebd8>
 <__main__.Word instance at 0x103865560>]",Alex,2_0,False,True,"[['there'], ['right']]",rightthere,rightthere,0.5,0.69314718056,False,0.6931471805599453
6,6,[<__main__.Word instance at 0x1038657a0>],Alex,2_0,False,True,[['those']],those,those,1.0,0.0,False,-0.0
7,7,"[<__main__.Word instance at 0x103865a28>
 <__main__.Word instance at 0x103865758>]",Alex,2_0,False,False,"[['that'], ['look']]",lookthat,thatlook,0.5,-0.69314718056,False,-0.6931471805599453
8,8,[<__main__.Word instance at 0x103865518>],Alex,2_0,False,True,[['this']],this,this,1.0,0.0,False,-0.0
9,9,[<__main__.Word instance at 0x11169a128>],Alex,2_0,False,True,[['that']],that,that,1.0,0.0,False,-0.0
10,10,"[<__main__.Word instance at 0x11169a3f8>
 <__main__.Word instance at 0x11169a518>]",Alex,2_0,False,False,"[['that'], [""who's""]]",who'sthat,thatwho's,0.5,-0.69314718056,False,-0.6931471805599453
11,11,"[<__main__.Word instance at 0x11169a758>
 <__main__.Word instance at 0x11169a878>]",Alex,2_0,False,False,"[['this'], [""what's""]]",what'sthis,thiswhat's,0.5,-0.69314718056,False,-0.6931471805599453
12,12,"[<__main__.Word instance at 0x11169aa70>
 <__main__.Word instance at 0x11169ab48>]",Alex,2_0,False,False,"[['that'], ['what']]",whatthat,thatwhat,0.5,-0.69314718056,False,-0.6931471805599453
13,13,"[<__main__.Word instance at 0x11169acf8>
 <__main__.Word instance at 0x11169ad88>]",Alex,2_0,False,False,"[['that'], [""what's""]]",what'sthat,thatwhat's,0.5,-0.69314718056,False,-0.6931471805599453
14,14,"[<__main__.Word instance at 0x11169ae60>
 <__main__.Word instance at 0x11169afc8>]",Alex,2_0,False,False,"[[""what's""], ['this']]",what'sthis,thiswhat's,0.5,-0.69314718056,False,-0.6931471805599453
15,15,"[<__main__.Word instance at 0x11169ae18>
 <__main__.Word instance at 0x1116a0098>
 <__main__.Word instance at 0x1116a0170>]",Alex,2_0,False,False,"[['under'], ['the', 'tree']]",underthetree,thetreeunder,0.5,-0.69314718056,False,-0.6931471805599453
16,16,[<__main__.Word instance at 0x1116a00e0>],Alex,2_0,False,True,[['that']],that,that,1.0,0.0,False,-0.0
17,17,[<__main__.Word instance at 0x1116a01b8>],Alex,2_0,True,,,yep,,,,NaN,NaN
18,18,[<__main__.Word instance at 0x1116a04d0>],Alex,2_0,False,True,[['smooth']],smooth,smooth,1.0,0.0,False,-0.0
19,19,"[<__main__.Word instance at 0x1116a05a8>
 <__main__.Word instance at 0x1116a0440>]",Alex,2_0,False,True,"[['a', 'boat']]",aboat,aboat,1.0,0.0,False,-0.0
20,20,[<__main__.Word instance at 0x1116a0518>],Alex,2_0,False,True,[['apple']],apple,apple,1.0,0.0,False,-0.0
