,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x11d112638>
 <__main__.Word instance at 0x11d1127a0>]",Violet,3_0,False,True,"[['what'], ['now']]",nowwhat,nowwhat,0.5,0.69314718056,False,0.6931471805599453
1,1,"[<__main__.Word instance at 0x11d112998>
 <__main__.Word instance at 0x11d112b48>]",Violet,3_0,False,False,"[['can'], ['you']]",canyou,youcan,0.5,-0.69314718056,False,-0.6931471805599453
2,2,"[<__main__.Word instance at 0x11d112d40>
 <__main__.Word instance at 0x11d112dd0>
 <__main__.Word instance at 0x11d112e60>
 <__main__.Word instance at 0x11d112ef0>]",Violet,3_0,False,False,"[['can'], ['read', 'this'], ['you']]",canyoureadthis,youcanreadthis,0.166666666667,-0.182321556794,False,-0.1823215567939546
3,3,"[<__main__.Word instance at 0x10d4d0560>
 <__main__.Word instance at 0x10d4d0a70>
 <__main__.Word instance at 0x10d4d07a0>]",Violet,3_0,False,False,"[['goes'], ['mom'], ['here']]",momgoeshere,heremomgoes,0.166666666667,-0.182321556794,False,-0.1823215567939546
4,4,"[<__main__.Word instance at 0x10d4d0a28>
 <__main__.Word instance at 0x10d4d0758>
 <__main__.Word instance at 0x10d4d08c0>
 <__main__.Word instance at 0x10d4d09e0>
 <__main__.Word instance at 0x10d4d0680>
 <__main__.Word instance at 0x10d4d0518>]",Violet,3_0,False,False,"[['you'], ['book'], ['can'], ['that'], ['read'], ['now']]",nowcanyoureadthatbook,thatbooknowyoucanread,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
5,5,"[<__main__.Word instance at 0x10d4d0488>
 <__main__.Word instance at 0x10d4d03f8>
 <__main__.Word instance at 0x10d4d0440>]",Violet,3_0,False,False,"[['now'], ['you'], ['can']]",nowcanyou,youcannow,0.166666666667,-0.182321556794,False,-0.1823215567939546
6,6,"[<__main__.Word instance at 0x10d3375a8>
 <__main__.Word instance at 0x10d3376c8>]",Violet,3_0,False,False,"[['can'], ['we']]",canwe,wecan,0.5,-0.69314718056,False,-0.6931471805599453
7,7,"[<__main__.Word instance at 0x10d3374d0>
 <__main__.Word instance at 0x10d337908>]",Violet,3_0,False,False,"[['read'], ['it']]",readit,itread,0.5,-0.69314718056,False,-0.6931471805599453
8,8,"[<__main__.Word instance at 0x10d337878>
 <__main__.Word instance at 0x10d337b00>]",Violet,3_0,False,True,"[['a'], ['duck']]",aduck,aduck,0.5,0.69314718056,False,0.6931471805599453
9,9,[<__main__.Word instance at 0x10d339a28>],Violet,3_0,True,,,frog,,,,NaN,NaN
10,10,"[<__main__.Word instance at 0x10d339c68>
 <__main__.Word instance at 0x10d3399e0>]",Violet,3_0,False,True,"[['yeah'], [""what's""]]",yeahwhat's,yeahwhat's,0.5,0.69314718056,False,0.6931471805599453
11,11,"[<__main__.Word instance at 0x10d339bd8>
 <__main__.Word instance at 0x10d32bcf8>
 <__main__.Word instance at 0x11d119050>
 <__main__.Word instance at 0x11d1190e0>]",Violet,3_0,False,True,"[['not'], ['this', 'page'], ['on']]",notonthispage,notonthispage,0.166666666667,1.79175946923,False,1.791759469228055
12,12,"[<__main__.Word instance at 0x11d119200>
 <__main__.Word instance at 0x11d119290>
 <__main__.Word instance at 0x11d119320>
 <__main__.Word instance at 0x11d1193b0>]",Violet,3_0,False,True,"[['not'], ['on'], ['this', 'page']]",notonthispage,notonthispage,0.166666666667,1.79175946923,False,1.791759469228055
13,13,"[<__main__.Word instance at 0x11d1194d0>
 <__main__.Word instance at 0x11d119560>
 <__main__.Word instance at 0x11d1195a8>
 <__main__.Word instance at 0x11d1196c8>]",Violet,3_0,False,True,"[['on'], ['this', 'page'], ['not']]",notonthispage,notonthispage,0.166666666667,1.79175946923,False,1.791759469228055
14,14,"[<__main__.Word instance at 0x11d119830>
 <__main__.Word instance at 0x11d1198c0>]",Violet,3_0,False,True,"[['two'], ['one']]",onetwo,onetwo,0.5,0.69314718056,False,0.6931471805599453
15,15,"[<__main__.Word instance at 0x11d1199e0>
 <__main__.Word instance at 0x11d119ab8>
 <__main__.Word instance at 0x11d119b90>
 <__main__.Word instance at 0x11d119a28>]",Violet,3_0,False,False,"[['in'], ['the', 'boat'], [""there's""]]",there'sintheboat,intheboatthere's,0.166666666667,-0.182321556794,False,-0.1823215567939546
16,16,"[<__main__.Word instance at 0x11d119d40>
 <__main__.Word instance at 0x11d119bd8>
 <__main__.Word instance at 0x11d119dd0>
 <__main__.Word instance at 0x11d119cb0>]",Violet,3_0,False,True,"[['on'], ['this', 'page'], ['not']]",notonthispage,notonthispage,0.166666666667,1.79175946923,False,1.791759469228055
17,17,"[<__main__.Word instance at 0x11d119ea8>
 <__main__.Word instance at 0x11d119f80>
 <__main__.Word instance at 0x11d11d0e0>
 <__main__.Word instance at 0x11d11d1b8>]",Violet,3_0,False,True,"[['on'], ['not'], ['this', 'page']]",notonthispage,notonthispage,0.166666666667,1.79175946923,False,1.791759469228055
18,18,"[<__main__.Word instance at 0x11d11d3f8>
 <__main__.Word instance at 0x11d11d488>
 <__main__.Word instance at 0x11d11d128>]",Violet,3_0,False,False,"[['this'], ['not'], ['on']]",notonthis,thisonnot,0.166666666667,-0.182321556794,False,-0.1823215567939546
19,19,"[<__main__.Word instance at 0x11d11d200>
 <__main__.Word instance at 0x11d11d5f0>
 <__main__.Word instance at 0x11d11d368>
 <__main__.Word instance at 0x11d11d7a0>]",Violet,3_0,False,True,"[['not'], ['this', 'page'], ['on']]",notonthispage,notonthispage,0.166666666667,1.79175946923,False,1.791759469228055
20,20,[<__main__.Word instance at 0x11d11d8c0>],Violet,3_0,False,True,[['four']],four,four,1.0,0.0,False,-0.0
21,21,"[<__main__.Word instance at 0x11d11da28>
 <__main__.Word instance at 0x11d11d830>]",Violet,3_0,False,False,"[['read'], ['it']]",readit,itread,0.5,-0.69314718056,False,-0.6931471805599453
22,22,[<__main__.Word instance at 0x11d11d4d0>],Violet,3_0,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
23,23,[<__main__.Word instance at 0x11d11da70>],Violet,3_0,False,True,[['bird']],bird,bird,1.0,0.0,False,-0.0
24,24,[<__main__.Word instance at 0x11d11db48>],Violet,3_0,True,,,deer,,,,NaN,NaN
25,25,"[<__main__.Word instance at 0x11d11dc20>
 <__main__.Word instance at 0x11d11dea8>
 <__main__.Word instance at 0x11d11d758>
 <__main__.Word instance at 0x11d11def0>
 <__main__.Word instance at 0x11d11ddd0>
 <__main__.Word instance at 0x11d120098>
 <__main__.Word instance at 0x11d120170>
 <__main__.Word instance at 0x11d120200>]",Violet,3_0,False,False,"[['and'], ['upside'], [""he's""], ['can'], ['be'], ['as'], ['busy'], ['down']]",upsidedownandhe'sbusyascanbe,asbusycanbehe'sdownandupside,2.48015873016e-05,-2.4801894866e-05,False,-2.48018948660112e-05
26,26,"[<__main__.Word instance at 0x11d1203f8>
 <__main__.Word instance at 0x11d120290>]",Violet,3_0,False,True,"[['purple'], ['triangle']]",purpletriangle,purpletriangle,0.5,0.69314718056,False,0.6931471805599453
27,27,[<__main__.Word instance at 0x11d120518>],Violet,3_0,False,True,[['everything']],everything,everything,1.0,0.0,False,-0.0
28,28,[<__main__.Word instance at 0x11d120440>],Violet,3_0,False,True,[['everything']],everything,everything,1.0,0.0,False,-0.0
29,29,[<__main__.Word instance at 0x11d1204d0>],Violet,3_0,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
30,30,"[<__main__.Word instance at 0x11d120050>
 <__main__.Word instance at 0x11d120b00>
 <__main__.Word instance at 0x11d120830>]",Violet,3_0,False,True,"[['look', 'at'], ['them']]",lookatthem,lookatthem,0.5,0.69314718056,False,0.6931471805599453
31,31,"[<__main__.Word instance at 0x11d120c20>
 <__main__.Word instance at 0x11d120950>
 <__main__.Word instance at 0x11d120e18>
 <__main__.Word instance at 0x11d120dd0>]",Violet,3_0,False,True,"[['not'], ['this', 'page'], ['on']]",notonthispage,notonthispage,0.166666666667,1.79175946923,False,1.791759469228055
