,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x1199a6cb0>
 <__main__.Word instance at 0x1199a6e18>
 <__main__.Word instance at 0x1199a6ea8>
 <__main__.Word instance at 0x10c2ab560>
 <__main__.Word instance at 0x10c2aba70>
 <__main__.Word instance at 0x10c2ab7a0>
 <__main__.Word instance at 0x10c2abcf8>
 <__main__.Word instance at 0x10c2ab638>
 <__main__.Word instance at 0x10c2ab680>
 <__main__.Word instance at 0x10c2aba28>
 <__main__.Word instance at 0x10c2abf80>]",Lily,2_6,False,False,"[['eat'], ['&-um'], ['this'], ['&-um'], ['the', 'water'], ['&-um'], ['this'], ['you'], ['the'], ['was']]",youeatthisthis&-umwas&-umthe&-umthewater,youeatthewas&-umthisthis&-um&-umthewater,2.7557319224e-07,-2.75573230236e-07,True,-3.306883774586512e-06
1,1,"[<__main__.Word instance at 0x10c2ab488>
 <__main__.Word instance at 0x10c2ab3f8>
 <__main__.Word instance at 0x10c2ab440>
 <__main__.Word instance at 0x10c2ab878>
 <__main__.Word instance at 0x10c106cf8>]",Lily,2_6,False,False,"[['eat'], ['will'], ['I'], ['this'], ['and']]",andIwilleatthis,thisandIwilleat,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
2,2,"[<__main__.Word instance at 0x10c112368>
 <__main__.Word instance at 0x10c112908>]",Lily,2_6,False,True,"[['all'], ['set']]",allset,allset,0.5,0.69314718056,False,0.6931471805599453
3,3,[<__main__.Word instance at 0x10c112b48>],Lily,2_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x10c112998>
 <__main__.Word instance at 0x10c114ab8>
 <__main__.Word instance at 0x10c114c68>]",Lily,2_6,False,False,"[['is'], ['that'], ['who']]",whoisthat,thatiswho,0.166666666667,-0.182321556794,False,-0.1823215567939546
5,5,[<__main__.Word instance at 0x10c1149e0>],Lily,2_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
6,6,"[<__main__.Word instance at 0x1199ae200>
 <__main__.Word instance at 0x1199ae290>
 <__main__.Word instance at 0x1199ae368>
 <__main__.Word instance at 0x1199ae440>]",Lily,2_6,False,False,"[['him'], ['on'], ['must'], ['we']]",wemustonhim,wemusthimon,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
7,7,"[<__main__.Word instance at 0x1199ae638>
 <__main__.Word instance at 0x1199ae710>
 <__main__.Word instance at 0x1199ae7e8>
 <__main__.Word instance at 0x1199ae878>
 <__main__.Word instance at 0x1199ae950>
 <__main__.Word instance at 0x1199ae9e0>
 <__main__.Word instance at 0x1199aea70>
 <__main__.Word instance at 0x1199aeb00>
 <__main__.Word instance at 0x1199aeb90>
 <__main__.Word instance at 0x1199aec20>]",Lily,2_6,True,,,hekillLottieandhekilledLottieintoherbed,,,,NaN,NaN
8,8,"[<__main__.Word instance at 0x1199aed40>
 <__main__.Word instance at 0x1199aedd0>
 <__main__.Word instance at 0x1199aee18>
 <__main__.Word instance at 0x1199aefc8>
 <__main__.Word instance at 0x1199aee60>]",Lily,2_6,True,,,yeahandthat'sNemo'sbed,,,,NaN,NaN
9,9,"[<__main__.Word instance at 0x1199b4128>
 <__main__.Word instance at 0x1199b4200>
 <__main__.Word instance at 0x1199b42d8>]",Lily,2_6,False,False,"[['here'], ['is'], ['it']]",hereitis,itishere,0.166666666667,-0.182321556794,False,-0.1823215567939546
10,10,"[<__main__.Word instance at 0x1199b43b0>
 <__main__.Word instance at 0x1199b4248>
 <__main__.Word instance at 0x1199b4488>
 <__main__.Word instance at 0x1199b4320>
 <__main__.Word instance at 0x1199b4560>]",Lily,2_6,True,,,andhere'sthefish'sone,,,,NaN,NaN
11,11,"[<__main__.Word instance at 0x1199b45f0>
 <__main__.Word instance at 0x1199b44d0>
 <__main__.Word instance at 0x1199b47e8>
 <__main__.Word instance at 0x1199b4680>]",Lily,2_6,False,False,"[['for'], [""here's""], ['one'], ['you']]",here'soneforyou,here'soneyoufor,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
