,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x1104f0878>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x1104f09e0>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,0.0,False,-0.0
2,2,[<__main__.Word instance at 0x1104f0b00>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,0.0,False,-0.0
3,3,[<__main__.Word instance at 0x1104f0c20>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,0.0,False,-0.0
4,4,[<__main__.Word instance at 0x1104f0d40>],Violet,1_6,False,True,[['this']],this,this,1.0,0.0,False,-0.0
5,5,[<__main__.Word instance at 0x1104f0e60>],Violet,1_6,False,True,[['baby']],baby,baby,1.0,0.0,False,-0.0
6,6,[<__main__.Word instance at 0x1104f0f80>],Violet,1_6,True,,,by,,,,NaN,NaN
7,7,[<__main__.Word instance at 0x1035fda70>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x1035fdcf8>],Violet,1_6,True,,,spank,,,,NaN,NaN
9,9,[<__main__.Word instance at 0x1035fd908>],Violet,1_6,True,,,spank,,,,NaN,NaN
10,10,[<__main__.Word instance at 0x1035fd710>],Violet,1_6,True,,,spank,,,,NaN,NaN
11,11,[<__main__.Word instance at 0x1035fd758>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,0.0,False,-0.0
12,12,[<__main__.Word instance at 0x1035fd5a8>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,0.0,False,-0.0
13,13,[<__main__.Word instance at 0x1035fd440>],Violet,1_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
14,14,[<__main__.Word instance at 0x1035fd4d0>],Violet,1_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
15,15,[<__main__.Word instance at 0x103458cf8>],Violet,1_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
16,16,[<__main__.Word instance at 0x103464c20>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,0.0,False,-0.0
17,17,[<__main__.Word instance at 0x103464998>],Violet,1_6,False,True,[['hi']],hi,hi,1.0,0.0,False,-0.0
18,18,"[<__main__.Word instance at 0x103466ab8>
 <__main__.Word instance at 0x103466a28>]",Violet,1_6,True,,,daddy'sguitar,,,,NaN,NaN
19,19,[<__main__.Word instance at 0x103466bd8>],Violet,1_6,True,,,butterfly,,,,NaN,NaN
20,20,[<__main__.Word instance at 0x1104f30e0>],Violet,1_6,False,True,[['piggy']],piggy,piggy,1.0,0.0,False,-0.0
21,21,[<__main__.Word instance at 0x1104f3290>],Violet,1_6,False,True,[['neck']],neck,neck,1.0,0.0,False,-0.0
22,22,[<__main__.Word instance at 0x1104f3518>],Violet,1_6,True,,,duck,,,,NaN,NaN
23,23,[<__main__.Word instance at 0x1104f3638>],Violet,1_6,True,,,duck,,,,NaN,NaN
24,24,[<__main__.Word instance at 0x1104f3758>],Violet,1_6,True,,,duck,,,,NaN,NaN
25,25,[<__main__.Word instance at 0x1104f38c0>],Violet,1_6,True,,,duck,,,,NaN,NaN
26,26,[<__main__.Word instance at 0x1104f3ab8>],Violet,1_6,True,,,duck,,,,NaN,NaN
27,27,[<__main__.Word instance at 0x1104f3b48>],Violet,1_6,False,True,[['piggy']],piggy,piggy,1.0,0.0,False,-0.0
28,28,[<__main__.Word instance at 0x1104f3830>],Violet,1_6,False,True,[['Violet']],Violet,Violet,1.0,0.0,False,-0.0
29,29,[<__main__.Word instance at 0x1104f3b90>],Violet,1_6,True,,,doggy,,,,NaN,NaN
30,30,[<__main__.Word instance at 0x1104f3c68>],Violet,1_6,False,True,[['there']],there,there,1.0,0.0,False,-0.0
31,31,[<__main__.Word instance at 0x1104f3d40>],Violet,1_6,False,True,[['there']],there,there,1.0,0.0,False,-0.0
