,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x10c285560>
 <__main__.Word instance at 0x10c285a70>]",Naima,3_0,False,False,"[['oh'], ['push']]",ohpush,pushoh,0.5,-0.69314718056,False,-0.6931471805599453
1,1,"[<__main__.Word instance at 0x10c285cf8>
 <__main__.Word instance at 0x10c285a28>
 <__main__.Word instance at 0x10c285758>
 <__main__.Word instance at 0x10c2858c0>
 <__main__.Word instance at 0x10c285518>]",Naima,3_0,False,False,"[[""that's""], ['all'], ['all'], [""that's""], [""that's""]]",that'sthat'sallthat'sall,allallthat'sthat'sthat's,0.00833333333333,-0.00836824967052,True,-0.10536051565782628
2,2,"[<__main__.Word instance at 0x12218a2d8>
 <__main__.Word instance at 0x12218a368>
 <__main__.Word instance at 0x12218a4d0>
 <__main__.Word instance at 0x12218a680>
 <__main__.Word instance at 0x12218a7a0>
 <__main__.Word instance at 0x12218a8c0>
 <__main__.Word instance at 0x12218a9e0>
 <__main__.Word instance at 0x12218ab00>
 <__main__.Word instance at 0x12218ac20>]",Naima,3_0,False,False,"[['all'], ['animals'], ['of'], ['the', 'farm'], ['I'], ['got'], [""that's""], ['because']]",that'sallofthefarmanimalsbecauseIgot,becauseofthefarmgotallIthat'sanimals,2.48015873016e-05,-2.4801894866e-05,False,-2.48018948660112e-05
3,3,[<__main__.Word instance at 0x12218ae60>],Naima,3_0,False,True,[['why']],why,why,1.0,0.0,False,-0.0
4,4,[<__main__.Word instance at 0x10c0e0cf8>],Naima,3_0,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
5,5,"[<__main__.Word instance at 0x10c0ec6c8>
 <__main__.Word instance at 0x10c0ec908>
 <__main__.Word instance at 0x10c0ec998>
 <__main__.Word instance at 0x10c0ecb48>
 <__main__.Word instance at 0x10c0ecc20>
 <__main__.Word instance at 0x1221910e0>
 <__main__.Word instance at 0x122191290>]",Naima,3_0,False,False,"[['into'], ['be', 'able'], ['go'], ['gonna'], [""Daddy's""], ['to']]",Daddy'sgonnabeabletogointo,intogotoDaddy'sgonnabeable,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
6,6,"[<__main__.Word instance at 0x122191488>
 <__main__.Word instance at 0x122191320>
 <__main__.Word instance at 0x122191680>
 <__main__.Word instance at 0x122191518>
 <__main__.Word instance at 0x122191878>]",Naima,3_0,False,False,"[['patients'], ['the'], ['in'], ['get'], ['that']]",getthatpatientsinthe,thatinthegetpatients,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
7,7,"[<__main__.Word instance at 0x122191a70>
 <__main__.Word instance at 0x122191908>]",Naima,3_0,False,False,"[['and'], ['make']]",andmake,makeand,0.5,-0.69314718056,False,-0.6931471805599453
8,8,"[<__main__.Word instance at 0x122191b00>
 <__main__.Word instance at 0x122191dd0>
 <__main__.Word instance at 0x122191cf8>
 <__main__.Word instance at 0x122191f38>
 <__main__.Word instance at 0x122191a28>
 <__main__.Word instance at 0x122191fc8>
 <__main__.Word instance at 0x122191e60>
 <__main__.Word instance at 0x122191d88>]",Naima,3_0,False,False,"[['exercise'], ['you'], ['patients'], ['and'], ['to'], ['on'], ['have_to'], ['there']]",andyouhave_topatientstoexerciseonthere,onyouhave_tothereandtoexercisepatients,2.48015873016e-05,-2.4801894866e-05,False,-2.48018948660112e-05
9,9,"[<__main__.Word instance at 0x1221940e0>
 <__main__.Word instance at 0x1221941b8>
 <__main__.Word instance at 0x122194050>
 <__main__.Word instance at 0x122194290>
 <__main__.Word instance at 0x122194128>]",Naima,3_0,False,False,"[['be', 'able'], ['will'], ['he'], ['to']]",hewillbeableto,tobeablehewill,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
10,10,"[<__main__.Word instance at 0x122194200>
 <__main__.Word instance at 0x122194440>
 <__main__.Word instance at 0x1221942d8>]",Naima,3_0,False,False,"[['both'], ['and'], ['have_to']]",andhave_toboth,bothandhave_to,0.166666666667,-0.182321556794,False,-0.1823215567939546
11,11,"[<__main__.Word instance at 0x122194680>
 <__main__.Word instance at 0x122194560>
 <__main__.Word instance at 0x122194710>
 <__main__.Word instance at 0x122194830>
 <__main__.Word instance at 0x122194518>
 <__main__.Word instance at 0x122194950>
 <__main__.Word instance at 0x122194488>
 <__main__.Word instance at 0x122194a28>
 <__main__.Word instance at 0x1221943b0>
 <__main__.Word instance at 0x122194b00>]",Naima,3_0,False,False,"[['have_to'], ['the'], ['be'], ['nurse'], ['has'], ['and'], ['doctor'], ['there'], ['to', 'be']]",hastobetherethenurseandhave_tobedoctor,thedoctorhasandnursetherebetobehave_to,2.7557319224e-06,-2.75573571947e-06,False,-2.7557357194686928e-06
12,12,"[<__main__.Word instance at 0x122194bd8>
 <__main__.Word instance at 0x122194a70>
 <__main__.Word instance at 0x122194cb0>
 <__main__.Word instance at 0x122194b48>
 <__main__.Word instance at 0x122194dd0>
 <__main__.Word instance at 0x122194c20>
 <__main__.Word instance at 0x122194ea8>
 <__main__.Word instance at 0x122194cf8>
 <__main__.Word instance at 0x122194f38>
 <__main__.Word instance at 0x122194d40>
 <__main__.Word instance at 0x122194e18>
 <__main__.Word instance at 0x122194638>
 <__main__.Word instance at 0x122194f80>]",Naima,3_0,False,False,"[['is'], ['water'], ['the'], ['for'], ['inside'], ['here'], ['special'], ['is'], ['the', 'animals'], ['pretend'], [""let's""], ['that']]",let'spretendthatinsidehereisisthespecialwaterfortheanimals,hereforthespecialwaterthatisistheanimalslet'sinsidepretend,2.08767569879e-09,-2.08767570116e-09,True,-4.175351406678215e-09
13,13,"[<__main__.Word instance at 0x122198200>
 <__main__.Word instance at 0x122198098>
 <__main__.Word instance at 0x122198368>
 <__main__.Word instance at 0x1221983f8>
 <__main__.Word instance at 0x122198290>]",Naima,3_0,False,False,"[['here'], ['bees', 'wax'], ['some'], [""there's""]]",there'ssomebeeswaxhere,herethere'ssomebeeswax,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
14,14,[<__main__.Word instance at 0x122198170>],Naima,3_0,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
15,15,"[<__main__.Word instance at 0x122198518>
 <__main__.Word instance at 0x1221987a0>
 <__main__.Word instance at 0x122198878>
 <__main__.Word instance at 0x1221981b8>
 <__main__.Word instance at 0x122198908>]",Naima,3_0,False,False,"[['some'], ['came'], ['out'], ['bees', 'wax']]",somebeeswaxcameout,someoutbeeswaxcame,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
16,16,[<__main__.Word instance at 0x122198b00>],Naima,3_0,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
17,17,"[<__main__.Word instance at 0x122198b90>
 <__main__.Word instance at 0x122198638>
 <__main__.Word instance at 0x122198d40>]",Naima,3_0,False,False,"[['this'], ['is'], ['soft']]",isthissoft,thisissoft,0.166666666667,-0.182321556794,False,-0.1823215567939546
18,18,"[<__main__.Word instance at 0x122198f80>
 <__main__.Word instance at 0x122198e18>
 <__main__.Word instance at 0x122198ea8>
 <__main__.Word instance at 0x122198cf8>
 <__main__.Word instance at 0x122198f38>]",Naima,3_0,False,False,"[['a'], ['it'], ['I', 'took'], ['this']]",Itookathisit,thisaitItook,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
19,19,"[<__main__.Word instance at 0x122198fc8>
 <__main__.Word instance at 0x12219b200>
 <__main__.Word instance at 0x12219b0e0>
 <__main__.Word instance at 0x12219b2d8>
 <__main__.Word instance at 0x12219b3b0>
 <__main__.Word instance at 0x12219b248>
 <__main__.Word instance at 0x12219b440>]",Naima,3_0,False,False,"[['out'], ['of'], ['it'], ['well'], ['something'], ['you', 'made']]",wellyoumadesomethingoutofit,itoutofsomethingwellyoumade,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
20,20,"[<__main__.Word instance at 0x12219b560>
 <__main__.Word instance at 0x12219b098>]",Naima,3_0,False,True,"[[""it's"", 'not']]",it'snot,it'snot,1.0,0.0,False,-0.0
21,21,"[<__main__.Word instance at 0x12219b6c8>
 <__main__.Word instance at 0x12219ba70>
 <__main__.Word instance at 0x12219b830>
 <__main__.Word instance at 0x12219bb00>
 <__main__.Word instance at 0x12219b5a8>]",Naima,3_0,False,False,"[['this'], ['be'], ['gonna'], ['is'], ['is']]",isthisisgonnabe,thisisgonnabeis,0.00833333333333,-0.00836824967052,True,-0.01680711831638129
22,22,"[<__main__.Word instance at 0x12219b9e0>
 <__main__.Word instance at 0x12219bc68>
 <__main__.Word instance at 0x12219bb48>
 <__main__.Word instance at 0x12219be18>
 <__main__.Word instance at 0x12219bcf8>
 <__main__.Word instance at 0x12219bf38>
 <__main__.Word instance at 0x12219bdd0>]",Naima,3_0,False,False,"[['be'], ['water'], ['this'], ['i_v'], ['special'], ['gonna'], ['is']]",thisisgonnabespeciali_vwater,thisisgonnabei_vspecialwater,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
23,23,"[<__main__.Word instance at 0x12219e1b8>
 <__main__.Word instance at 0x12219e518>
 <__main__.Word instance at 0x12219e098>]",Naima,3_0,False,True,"[['for'], ['the', 'animals']]",fortheanimals,fortheanimals,0.5,0.69314718056,False,0.6931471805599453
24,24,"[<__main__.Word instance at 0x12219e440>
 <__main__.Word instance at 0x12219e7e8>
 <__main__.Word instance at 0x12219e710>
 <__main__.Word instance at 0x12219e9e0>
 <__main__.Word instance at 0x12219e878>]",Naima,3_0,False,False,"[['and'], ['gonna'], ['the', ""tree's""], ['be']]",andthetree'sgonnabe,thetree'sgonnabeand,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
25,25,"[<__main__.Word instance at 0x12219e368>
 <__main__.Word instance at 0x12219ecf8>
 <__main__.Word instance at 0x12219e5a8>
 <__main__.Word instance at 0x12219ed88>
 <__main__.Word instance at 0x12219ec68>
 <__main__.Word instance at 0x12219ee60>
 <__main__.Word instance at 0x12219e998>
 <__main__.Word instance at 0x12219ef38>]",Naima,3_0,False,False,"[['the', ""tree's""], ['be'], ['gonna'], ['&-uh'], ['the'], ['the', 'treadmill']]",thethetree'sgonnabe&-uhthetreadmill,thetree'sgonnabethetreadmillthe&-uh,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
