,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x11ae108c0>],William,1_6,False,True,[['book']],book,book,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x11ae10ab8>],William,1_6,False,True,[['lion']],lion,lion,1.0,0.0,False,-0.0
2,2,[<__main__.Word instance at 0x11ae10cf8>],William,1_6,False,True,[['uhoh']],uhoh,uhoh,1.0,0.0,False,-0.0
3,3,"[<__main__.Word instance at 0x11ae10f38>
 <__main__.Word instance at 0x10dc7c560>
 <__main__.Word instance at 0x10dc7ca70>]",William,1_6,False,False,"[['the'], ['book'], ['oh']]",ohthebook,theohbook,0.166666666667,-0.182321556794,False,-0.1823215567939546
4,4,[<__main__.Word instance at 0x10dc7ccf8>],William,1_6,False,True,[['peacock']],peacock,peacock,1.0,0.0,False,-0.0
5,5,"[<__main__.Word instance at 0x10dc7c758>
 <__main__.Word instance at 0x10dc7c8c0>
 <__main__.Word instance at 0x10dc7c518>]",William,1_6,False,True,"[['mm'], ['mm'], ['mm']]",mmmmmm,mmmmmm,0.166666666667,1.79175946923,True,-0.0
6,6,[<__main__.Word instance at 0x10dae3908>],William,1_6,False,True,[['no']],no,no,1.0,0.0,False,-0.0
7,7,[<__main__.Word instance at 0x10dae3b48>],William,1_6,False,True,[['eye']],eye,eye,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x10dae5c20>],William,1_6,False,True,[['nose']],nose,nose,1.0,0.0,False,-0.0
9,9,[<__main__.Word instance at 0x10dae59e0>],William,1_6,False,True,[['nose']],nose,nose,1.0,0.0,False,-0.0
10,10,[<__main__.Word instance at 0x11ae161b8>],William,1_6,False,True,[['&-uh']],&-uh,&-uh,1.0,0.0,False,-0.0
11,11,"[<__main__.Word instance at 0x11ae163f8>
 <__main__.Word instance at 0x11ae16518>]",William,1_6,False,True,"[['all', 'done']]",alldone,alldone,1.0,0.0,False,-0.0
12,12,[<__main__.Word instance at 0x11ae16830>],William,1_6,False,True,[['elbow']],elbow,elbow,1.0,0.0,False,-0.0
13,13,[<__main__.Word instance at 0x11ae16998>],William,1_6,False,True,[['elbow']],elbow,elbow,1.0,0.0,False,-0.0
14,14,[<__main__.Word instance at 0x11ae16908>],William,1_6,False,True,[['arm']],arm,arm,1.0,0.0,False,-0.0
15,15,[<__main__.Word instance at 0x11ae169e0>],William,1_6,False,True,[['arm']],arm,arm,1.0,0.0,False,-0.0
16,16,[<__main__.Word instance at 0x11ae16ab8>],William,1_6,False,True,[['arm']],arm,arm,1.0,0.0,False,-0.0
17,17,"[<__main__.Word instance at 0x11ae167a0>
 <__main__.Word instance at 0x11ae16d88>]",William,1_6,False,True,"[['book'], ['book']]",bookbook,bookbook,0.5,0.69314718056,True,-0.0
18,18,[<__main__.Word instance at 0x11ae16ea8>],William,1_6,False,True,[['toe']],toe,toe,1.0,0.0,False,-0.0
19,19,[<__main__.Word instance at 0x11ae16e18>],William,1_6,False,True,[['eye']],eye,eye,1.0,0.0,False,-0.0
20,20,[<__main__.Word instance at 0x11ae1a170>],William,1_6,False,True,[['eye']],eye,eye,1.0,0.0,False,-0.0
21,21,[<__main__.Word instance at 0x11ae1a368>],William,1_6,False,True,[['feet']],feet,feet,1.0,0.0,False,-0.0
22,22,[<__main__.Word instance at 0x11ae1a710>],William,1_6,False,True,[['where']],where,where,1.0,0.0,False,-0.0
23,23,[<__main__.Word instance at 0x11ae1a638>],William,1_6,False,True,[['ew']],ew,ew,1.0,0.0,False,-0.0
24,24,[<__main__.Word instance at 0x11ae1a3f8>],William,1_6,False,True,[['ew']],ew,ew,1.0,0.0,False,-0.0
25,25,[<__main__.Word instance at 0x11ae1abd8>],William,1_6,False,True,[['ew']],ew,ew,1.0,0.0,False,-0.0
26,26,"[<__main__.Word instance at 0x11ae1ac20>
 <__main__.Word instance at 0x11ae1aa70>
 <__main__.Word instance at 0x11ae1ae18>]",William,1_6,False,True,"[['ew'], ['ew'], ['ew']]",ewewew,ewewew,0.166666666667,1.79175946923,True,-0.0
27,27,[<__main__.Word instance at 0x11ae1aef0>],William,1_6,False,True,[['ooh']],ooh,ooh,1.0,0.0,False,-0.0
28,28,[<__main__.Word instance at 0x11ae1afc8>],William,1_6,False,True,[['ooh']],ooh,ooh,1.0,0.0,False,-0.0
29,29,[<__main__.Word instance at 0x11ae1aa28>],William,1_6,False,True,[['ooh']],ooh,ooh,1.0,0.0,False,-0.0
30,30,[<__main__.Word instance at 0x11ae1d0e0>],William,1_6,False,True,[['ooh']],ooh,ooh,1.0,0.0,False,-0.0
31,31,"[<__main__.Word instance at 0x11ae1d290>
 <__main__.Word instance at 0x11ae1d128>]",William,1_6,False,True,"[['ee'], ['ooh']]",eeooh,eeooh,0.5,0.69314718056,False,0.6931471805599453
32,32,[<__main__.Word instance at 0x11ae1d7a0>],William,1_6,False,True,[['ee']],ee,ee,1.0,0.0,False,-0.0
33,33,"[<__main__.Word instance at 0x11ae1d830>
 <__main__.Word instance at 0x11ae1da28>
 <__main__.Word instance at 0x11ae1d440>
 <__main__.Word instance at 0x11ae1db48>]",William,1_6,False,True,"[['ah'], ['ee'], ['ah'], ['ee']]",eeaheeah,eeaheeah,0.0416666666667,3.17805383035,True,1.791759469228055
34,34,"[<__main__.Word instance at 0x11ae1dc20>
 <__main__.Word instance at 0x11ae1d950>]",William,1_6,False,False,"[['ah'], ['ee']]",eeah,ahee,0.5,-0.69314718056,False,-0.6931471805599453
35,35,[<__main__.Word instance at 0x11ae1dcb0>],William,1_6,False,True,[['towel']],towel,towel,1.0,0.0,False,-0.0
36,36,[<__main__.Word instance at 0x11ae1d560>],William,1_6,False,True,[['ball']],ball,ball,1.0,0.0,False,-0.0
37,37,[<__main__.Word instance at 0x11ae1dd88>],William,1_6,False,True,[['hat']],hat,hat,1.0,0.0,False,-0.0
38,38,[<__main__.Word instance at 0x11ae20098>],William,1_6,False,True,[['keys']],keys,keys,1.0,0.0,False,-0.0
39,39,[<__main__.Word instance at 0x11ae20638>],William,1_6,False,True,[['bubbles']],bubbles,bubbles,1.0,0.0,False,-0.0
40,40,[<__main__.Word instance at 0x11ae207a0>],William,1_6,False,True,[['ha']],ha,ha,1.0,0.0,False,-0.0
41,41,[<__main__.Word instance at 0x11ae20758>],William,1_6,False,True,[['bus']],bus,bus,1.0,0.0,False,-0.0
42,42,[<__main__.Word instance at 0x11ae20998>],William,1_6,False,True,[['toes']],toes,toes,1.0,0.0,False,-0.0
43,43,[<__main__.Word instance at 0x11ae20a70>],William,1_6,False,True,[['uhoh']],uhoh,uhoh,1.0,0.0,False,-0.0
44,44,[<__main__.Word instance at 0x11ae209e0>],William,1_6,False,True,[['oh']],oh,oh,1.0,0.0,False,-0.0
45,45,[<__main__.Word instance at 0x11ae20ab8>],William,1_6,False,True,[['town']],town,town,1.0,0.0,False,-0.0
46,46,[<__main__.Word instance at 0x11ae20830>],William,1_6,False,True,[['swish']],swish,swish,1.0,0.0,False,-0.0
47,47,"[<__main__.Word instance at 0x11ae20d40>
 <__main__.Word instance at 0x11ae20ef0>
 <__main__.Word instance at 0x11ae20950>]",William,1_6,False,True,"[['swish', 'swish'], ['swish']]",swishswishswish,swishswishswish,0.5,0.69314718056,False,0.6931471805599453
48,48,[<__main__.Word instance at 0x11ae20488>],William,1_6,False,True,[['swish']],swish,swish,1.0,0.0,False,-0.0
49,49,[<__main__.Word instance at 0x11ae24050>],William,1_6,False,True,[['town']],town,town,1.0,0.0,False,-0.0
50,50,[<__main__.Word instance at 0x11ae241b8>],William,1_6,False,True,[['okay']],okay,okay,1.0,0.0,False,-0.0
51,51,[<__main__.Word instance at 0x11ae24368>],William,1_6,False,True,[['town']],town,town,1.0,0.0,False,-0.0
52,52,"[<__main__.Word instance at 0x11ae245f0>
 <__main__.Word instance at 0x11ae24560>]",William,1_6,False,True,"[['no'], ['no']]",nono,nono,0.5,0.69314718056,True,-0.0
