,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x109873a70>
 <__main__.Word instance at 0x1098737a0>
 <__main__.Word instance at 0x109873cf8>
 <__main__.Word instance at 0x109873a28>]",Alex,3_6,False,False,"[['how', 'bout'], ['one'], ['this']]",howboutthisone,onehowboutthis,0.166666666667,-0.182321556794,False,-0.1823215567939546
1,1,[<__main__.Word instance at 0x1098738c0>],Alex,3_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
2,2,"[<__main__.Word instance at 0x1163d6290>
 <__main__.Word instance at 0x1163d63f8>]",Alex,3_6,False,True,"[['yes'], ['no']]",noyes,noyes,0.5,0.69314718056,False,0.6931471805599453
3,3,[<__main__.Word instance at 0x1163d65a8>],Alex,3_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x1163d67e8>
 <__main__.Word instance at 0x1163d6908>
 <__main__.Word instance at 0x1163d6a28>]",Alex,3_6,False,False,"[['oh'], ['one'], ['this']]",ohthisone,onethisoh,0.166666666667,-0.182321556794,False,-0.1823215567939546
5,5,"[<__main__.Word instance at 0x1163d6c68>
 <__main__.Word instance at 0x1163d6d40>
 <__main__.Word instance at 0x1163d6e60>
 <__main__.Word instance at 0x1163d6ea8>
 <__main__.Word instance at 0x1163d6fc8>
 <__main__.Word instance at 0x109899170>
 <__main__.Word instance at 0x1098991b8>]",Alex,3_6,False,False,"[['it'], ['with'], ['bat'], ['I'], ['the'], ['more'], ['like']]",Ilikeitmorewiththebat,likemoretheitwithbatI,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
6,6,"[<__main__.Word instance at 0x1096da908>
 <__main__.Word instance at 0x1096da998>
 <__main__.Word instance at 0x1096da878>
 <__main__.Word instance at 0x1096dab48>]",Alex,3_6,False,False,"[['bat'], ['the'], ['I'], ['remove']]",Iremovethebat,theremoveIbat,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
7,7,[<__main__.Word instance at 0x1096dcab8>],Alex,3_6,False,True,[['Amanda']],Amanda,Amanda,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x1096dc9e0>],Alex,3_6,False,True,[['throw']],throw,throw,1.0,0.0,False,-0.0
9,9,"[<__main__.Word instance at 0x1163dc0e0>
 <__main__.Word instance at 0x1163dc290>]",Alex,3_6,False,True,"[['ball'], ['throw']]",throwball,throwball,0.5,0.69314718056,False,0.6931471805599453
10,10,"[<__main__.Word instance at 0x1163dc368>
 <__main__.Word instance at 0x1163dc3f8>]",Alex,3_6,False,False,"[['for'], [""that's""]]",that'sfor,forthat's,0.5,-0.69314718056,False,-0.6931471805599453
11,11,[<__main__.Word instance at 0x1163dc5f0>],Alex,3_6,False,True,[['oh']],oh,oh,1.0,0.0,False,-0.0
12,12,"[<__main__.Word instance at 0x1163dc6c8>
 <__main__.Word instance at 0x1163dc248>
 <__main__.Word instance at 0x1163dc7a0>]",Alex,3_6,False,False,"[['let'], ['okay'], ['play']]",okayletplay,playletokay,0.166666666667,-0.182321556794,False,-0.1823215567939546
13,13,"[<__main__.Word instance at 0x1163dc878>
 <__main__.Word instance at 0x1163dc710>]",Alex,3_6,False,False,"[['about'], ['how']]",howabout,abouthow,0.5,-0.69314718056,False,-0.6931471805599453
14,14,"[<__main__.Word instance at 0x1163dcb00>
 <__main__.Word instance at 0x1163dc998>]",Alex,3_6,False,True,"[['how', 'bout']]",howbout,howbout,1.0,0.0,False,-0.0
15,15,"[<__main__.Word instance at 0x1163dc5a8>
 <__main__.Word instance at 0x1163dccb0>
 <__main__.Word instance at 0x1163dcb48>]",Alex,3_6,False,False,"[['me'], ['let'], ['see']]",letmesee,seeletme,0.166666666667,-0.182321556794,False,-0.1823215567939546
16,16,"[<__main__.Word instance at 0x1163dcc20>
 <__main__.Word instance at 0x1163dce60>
 <__main__.Word instance at 0x1163dccf8>
 <__main__.Word instance at 0x1163dcf38>]",Alex,3_6,False,True,"[['Elmo'], ['sport'], ['how', 'bout']]",howboutElmosport,howboutElmosport,0.166666666667,1.79175946923,False,1.791759469228055
17,17,"[<__main__.Word instance at 0x1163dcea8>
 <__main__.Word instance at 0x1163dcf80>
 <__main__.Word instance at 0x1163dcdd0>
 <__main__.Word instance at 0x1163dcab8>
 <__main__.Word instance at 0x1163df050>]",Alex,3_6,False,False,"[['how', 'bout'], ['Elmo'], ['instead'], ['sport']]",howboutElmosportinstead,sporthowboutinsteadElmo,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
18,18,"[<__main__.Word instance at 0x1163df1b8>
 <__main__.Word instance at 0x1163df3b0>
 <__main__.Word instance at 0x1163df248>
 <__main__.Word instance at 0x1163df440>]",Alex,3_6,False,False,"[['how', 'bout'], ['blue'], ['the']]",howbouttheblue,thehowboutblue,0.166666666667,-0.182321556794,False,-0.1823215567939546
19,19,"[<__main__.Word instance at 0x1163df4d0>
 <__main__.Word instance at 0x1163df710>
 <__main__.Word instance at 0x1163df368>]",Alex,3_6,False,False,"[['the'], ['how', 'bout']]",howboutthe,thehowbout,0.5,-0.69314718056,False,-0.6931471805599453
20,20,"[<__main__.Word instance at 0x1163df098>
 <__main__.Word instance at 0x1163df878>
 <__main__.Word instance at 0x1163df680>]",Alex,3_6,False,True,"[['or'], ['red'], ['the']]",orthered,orthered,0.166666666667,1.79175946923,False,1.791759469228055
21,21,"[<__main__.Word instance at 0x1163df908>
 <__main__.Word instance at 0x1163dfb48>]",Alex,3_6,False,False,"[['this'], ['one']]",thisone,onethis,0.5,-0.69314718056,False,-0.6931471805599453
22,22,"[<__main__.Word instance at 0x1163dfc20>
 <__main__.Word instance at 0x1163dfab8>]",Alex,3_6,False,True,"[['that', 'one']]",thatone,thatone,1.0,0.0,False,-0.0
23,23,"[<__main__.Word instance at 0x1163dfb90>
 <__main__.Word instance at 0x1163dfdd0>
 <__main__.Word instance at 0x1163dfc68>
 <__main__.Word instance at 0x1163dfea8>]",Alex,3_6,False,False,"[['no'], ['one'], ['how', 'bout']]",howboutnoone,onenohowbout,0.166666666667,-0.182321556794,False,-0.1823215567939546
24,24,"[<__main__.Word instance at 0x1163dff80>
 <__main__.Word instance at 0x1163dfe18>]",Alex,3_6,False,False,"[['one'], ['this']]",thisone,onethis,0.5,-0.69314718056,False,-0.6931471805599453
25,25,"[<__main__.Word instance at 0x1163dffc8>
 <__main__.Word instance at 0x1163dfa28>]",Alex,3_6,False,True,"[['orange'], ['one']]",orangeone,orangeone,0.5,0.69314718056,False,0.6931471805599453
26,26,"[<__main__.Word instance at 0x1163e3098>
 <__main__.Word instance at 0x1163e3170>
 <__main__.Word instance at 0x1163e3248>
 <__main__.Word instance at 0x1163e30e0>]",Alex,3_6,False,False,"[['the'], ['go'], ['tee'], ['now']]",nowgothetee,nowteethego,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
27,27,"[<__main__.Word instance at 0x1163e31b8>
 <__main__.Word instance at 0x1163e34d0>]",Alex,3_6,False,True,"[['watch'], ['it']]",watchit,watchit,0.5,0.69314718056,False,0.6931471805599453
28,28,"[<__main__.Word instance at 0x1163e3518>
 <__main__.Word instance at 0x1163e3758>
 <__main__.Word instance at 0x1163e3368>
 <__main__.Word instance at 0x1163e3830>
 <__main__.Word instance at 0x1163e36c8>]",Alex,3_6,False,False,"[['this'], ['Mom'], ['how', 'bout'], ['one']]",howboutthisoneMom,onehowboutthisMom,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
29,29,"[<__main__.Word instance at 0x1163e37a0>
 <__main__.Word instance at 0x1163e39e0>]",Alex,3_6,False,False,"[['this'], ['one']]",thisone,onethis,0.5,-0.69314718056,False,-0.6931471805599453
30,30,"[<__main__.Word instance at 0x1163e3ab8>
 <__main__.Word instance at 0x1163e3950>
 <__main__.Word instance at 0x1163e3b90>]",Alex,3_6,False,False,"[['this'], ['Ma'], ['one']]",Mathisone,oneMathis,0.166666666667,-0.182321556794,False,-0.1823215567939546
31,31,"[<__main__.Word instance at 0x1163e3b00>
 <__main__.Word instance at 0x1163e3d40>]",Alex,3_6,False,False,"[['like'], ['this']]",likethis,thislike,0.5,-0.69314718056,False,-0.6931471805599453
32,32,"[<__main__.Word instance at 0x1163e3e18>
 <__main__.Word instance at 0x1163e3cb0>
 <__main__.Word instance at 0x1163e3ea8>
 <__main__.Word instance at 0x1163e3d88>
 <__main__.Word instance at 0x1163e3f38>]",Alex,3_6,False,False,"[['Ma'], ['is'], ['oh'], ['too', 'big']]",ohMaistoobig,istoobigMaoh,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
33,33,[<__main__.Word instance at 0x1163e3638>],Alex,3_6,False,True,[['why']],why,why,1.0,0.0,False,-0.0
34,34,"[<__main__.Word instance at 0x1163e6248>
 <__main__.Word instance at 0x1163e6128>]",Alex,3_6,False,False,"[['roll'], ['this']]",rollthis,thisroll,0.5,-0.69314718056,False,-0.6931471805599453
35,35,"[<__main__.Word instance at 0x1163e63b0>
 <__main__.Word instance at 0x1163e6290>
 <__main__.Word instance at 0x1163e6488>]",Alex,3_6,False,False,"[['one'], ['roll'], ['this']]",rollthisone,onerollthis,0.166666666667,-0.182321556794,False,-0.1823215567939546
36,36,"[<__main__.Word instance at 0x1163e6638>
 <__main__.Word instance at 0x1163e6518>
 <__main__.Word instance at 0x1163e6830>
 <__main__.Word instance at 0x1163e66c8>
 <__main__.Word instance at 0x1163e6758>
 <__main__.Word instance at 0x1163e65f0>
 <__main__.Word instance at 0x1163e6a70>
 <__main__.Word instance at 0x1163e6950>]",Alex,3_6,False,False,"[['put'], ['back'], ['in'], ['all'], ['it'], ['my'], ['we'], ['gonna']]",weallgonnaputitinmyback,backmygonnaweallitinput,2.48015873016e-05,-2.4801894866e-05,False,-2.48018948660112e-05
37,37,"[<__main__.Word instance at 0x1163e67e8>
 <__main__.Word instance at 0x1163e6c20>]",Alex,3_6,False,True,"[[""it's""], ['sorry']]",it'ssorry,it'ssorry,0.5,0.69314718056,False,0.6931471805599453
38,38,"[<__main__.Word instance at 0x1163e6cf8>
 <__main__.Word instance at 0x1163e6878>
 <__main__.Word instance at 0x1163e6dd0>
 <__main__.Word instance at 0x1163e6b90>
 <__main__.Word instance at 0x1163e6e60>
 <__main__.Word instance at 0x1163e6d40>
 <__main__.Word instance at 0x1163e6f80>]",Alex,3_6,False,False,"[['put'], ['back'], ['Mommy'], ['it'], ['I'], ['sorry'], ['my']]",IsorryMommyputitmyback,backIputitmysorryMommy,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
39,39,"[<__main__.Word instance at 0x1163e6ef0>
 <__main__.Word instance at 0x1163e6fc8>
 <__main__.Word instance at 0x1163e6a28>
 <__main__.Word instance at 0x1163ea098>]",Alex,3_6,False,False,"[['hit'], ['over'], ['Ma'], ['branches']]",Mahitoverbranches,hitbranchesMaover,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
