,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x11d391cf8>
 <__main__.Word instance at 0x11d391e60>
 <__main__.Word instance at 0x11d391ef0>
 <__main__.Word instance at 0x10fc96560>
 <__main__.Word instance at 0x10fc96a70>
 <__main__.Word instance at 0x10fc967a0>
 <__main__.Word instance at 0x10fc96cf8>
 <__main__.Word instance at 0x10fc96638>
 <__main__.Word instance at 0x10fc96680>
 <__main__.Word instance at 0x10fc96a28>
 <__main__.Word instance at 0x10fc96f80>]",Lily,2_6,False,False,"[['this'], ['&-um'], ['you'], ['&-um'], ['eat'], ['the', 'water'], ['this'], ['the'], ['&-um'], ['was']]",youeatthisthis&-umwas&-umthe&-umthewater,youeatthewasthisthis&-um&-umthewater&-um,2.7557319224e-07,-2.75573230236e-07,True,-3.306883774586512e-06
1,1,"[<__main__.Word instance at 0x10fc96488>
 <__main__.Word instance at 0x10fc96440>
 <__main__.Word instance at 0x10fc96878>
 <__main__.Word instance at 0x10faf1cf8>
 <__main__.Word instance at 0x11d399098>]",Lily,2_6,False,False,"[['and'], ['I'], ['will'], ['this'], ['eat']]",andIwilleatthis,thisandIwilleat,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
2,2,"[<__main__.Word instance at 0x11d3992d8>
 <__main__.Word instance at 0x11d3993b0>]",Lily,2_6,False,True,"[['set'], ['all']]",allset,allset,0.5,0.69314718056,False,0.6931471805599453
3,3,[<__main__.Word instance at 0x11d399560>],Lily,2_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x11d399758>
 <__main__.Word instance at 0x11d399830>
 <__main__.Word instance at 0x11d3998c0>]",Lily,2_6,False,False,"[['that'], ['is'], ['who']]",whoisthat,thatiswho,0.166666666667,-0.182321556794,False,-0.1823215567939546
5,5,[<__main__.Word instance at 0x11d399a28>],Lily,2_6,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
6,6,"[<__main__.Word instance at 0x11d399b48>
 <__main__.Word instance at 0x11d399bd8>
 <__main__.Word instance at 0x11d399c68>
 <__main__.Word instance at 0x11d399cf8>]",Lily,2_6,False,False,"[['we'], ['must'], ['on'], ['him']]",wemustonhim,wemusthimon,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
7,7,"[<__main__.Word instance at 0x11d399e18>
 <__main__.Word instance at 0x11d399e60>
 <__main__.Word instance at 0x11d399ef0>
 <__main__.Word instance at 0x10fafda28>
 <__main__.Word instance at 0x10fafd5a8>
 <__main__.Word instance at 0x10fafd998>
 <__main__.Word instance at 0x10fafd368>
 <__main__.Word instance at 0x10fafdb48>
 <__main__.Word instance at 0x10fafdc20>
 <__main__.Word instance at 0x10fafd878>]",Lily,2_6,False,False,"[['Lottie'], ['into'], ['and'], ['Lottie'], ['her'], ['kill'], ['bed'], ['he'], ['killed'], ['he']]",hekillLottieandhekilledLottieintoherbed,heandherintobedhekilledkillLottieLottie,2.7557319224e-07,-2.75573230236e-07,True,-1.1022933764759172e-06
8,8,"[<__main__.Word instance at 0x10faffab8>
 <__main__.Word instance at 0x10faffc68>
 <__main__.Word instance at 0x10faff9e0>
 <__main__.Word instance at 0x10faffc20>
 <__main__.Word instance at 0x11d39f098>]",Lily,2_6,False,False,"[['bed'], [""Nemo's""], ['yeah'], ['and'], [""that's""]]",yeahandthat'sNemo'sbed,that'syeahandNemo'sbed,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
9,9,"[<__main__.Word instance at 0x11d39f290>
 <__main__.Word instance at 0x11d39f368>
 <__main__.Word instance at 0x11d39f200>]",Lily,2_6,False,False,"[['it'], ['is'], ['here']]",hereitis,itishere,0.166666666667,-0.182321556794,False,-0.1823215567939546
10,10,"[<__main__.Word instance at 0x11d39f2d8>
 <__main__.Word instance at 0x11d39f518>
 <__main__.Word instance at 0x11d39f3b0>
 <__main__.Word instance at 0x11d39f5f0>
 <__main__.Word instance at 0x11d39f128>]",Lily,2_6,False,False,"[['and'], [""here's""], ['the'], ['one'], [""fish's""]]",andhere'sthefish'sone,here'sthefish'sandone,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
