,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x1099f5560>],William,2_0,False,True,[['see']],see,see,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x1099f57a0>],William,2_0,False,True,[['guys']],guys,guys,1.0,0.0,False,-0.0
2,2,[<__main__.Word instance at 0x1099f5a28>],William,2_0,False,True,[['guys']],guys,guys,1.0,0.0,False,-0.0
3,3,[<__main__.Word instance at 0x1099f58c0>],William,2_0,False,True,[['guys']],guys,guys,1.0,0.0,False,-0.0
4,4,[<__main__.Word instance at 0x10985c6c8>],William,2_0,False,True,[['guys']],guys,guys,1.0,0.0,False,-0.0
5,5,"[<__main__.Word instance at 0x10985cb48>
 <__main__.Word instance at 0x116999128>
 <__main__.Word instance at 0x116999290>
 <__main__.Word instance at 0x116999320>]",William,2_0,False,False,"[['the'], ['what'], ['about'], ['raisins']]",whatabouttheraisins,theaboutwhatraisins,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
6,6,"[<__main__.Word instance at 0x116999560>
 <__main__.Word instance at 0x116999680>
 <__main__.Word instance at 0x1169997a0>
 <__main__.Word instance at 0x1169998c0>]",William,2_0,False,False,"[['want'], ['a'], ['Manuela'], ['raisin']]",Manuelawantaraisin,wantaManuelaraisin,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
7,7,"[<__main__.Word instance at 0x116999b00>
 <__main__.Word instance at 0x116999cb0>
 <__main__.Word instance at 0x116999dd0>]",William,2_0,False,True,"[['raisin'], ['want'], ['a']]",wantaraisin,wantaraisin,0.166666666667,1.79175946923,False,1.791759469228055
8,8,[<__main__.Word instance at 0x116999f80>],William,2_0,False,True,[['raisin']],raisin,raisin,1.0,0.0,False,-0.0
9,9,"[<__main__.Word instance at 0x10985ec68>
 <__main__.Word instance at 0x10985e9e0>]",William,2_0,False,True,"[['raisin'], ['raisin']]",raisinraisin,raisinraisin,0.5,0.69314718056,True,-0.0
10,10,[<__main__.Word instance at 0x11699f170>],William,2_0,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
11,11,"[<__main__.Word instance at 0x11699f200>
 <__main__.Word instance at 0x11699f050>]",William,2_0,False,True,"[['triangle'], ['the']]",thetriangle,thetriangle,0.5,0.69314718056,False,0.6931471805599453
12,12,[<__main__.Word instance at 0x11699f290>],William,2_0,False,True,[['uhuh']],uhuh,uhuh,1.0,0.0,False,-0.0
13,13,"[<__main__.Word instance at 0x11699f560>
 <__main__.Word instance at 0x11699f1b8>]",William,2_0,False,True,"[['&-uh'], ['oh']]",&-uhoh,&-uhoh,0.5,0.69314718056,False,0.6931471805599453
14,14,[<__main__.Word instance at 0x11699f3f8>],William,2_0,False,True,[['triangle']],triangle,triangle,1.0,0.0,False,-0.0
15,15,"[<__main__.Word instance at 0x11699f7e8>
 <__main__.Word instance at 0x11699f680>]",William,2_0,False,True,"[['circle'], ['triangle']]",trianglecircle,trianglecircle,0.5,0.69314718056,False,0.6931471805599453
16,16,[<__main__.Word instance at 0x11699f998>],William,2_0,False,True,[['circle']],circle,circle,1.0,0.0,False,-0.0
17,17,[<__main__.Word instance at 0x11699fa70>],William,2_0,False,True,[['triangle']],triangle,triangle,1.0,0.0,False,-0.0
18,18,[<__main__.Word instance at 0x11699fb48>],William,2_0,False,True,[['blue']],blue,blue,1.0,0.0,False,-0.0
19,19,[<__main__.Word instance at 0x11699fc20>],William,2_0,False,True,[['red']],red,red,1.0,0.0,False,-0.0
20,20,[<__main__.Word instance at 0x11699fcf8>],William,2_0,False,True,[['yellow']],yellow,yellow,1.0,0.0,False,-0.0
